
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
2328.2 0.784615 0.391029 0.103551 0.399744 -0.426945 -0.514679 0.626919 -0.438786 0 0 0 0.438786 9348 0.406378 0.637782 143 6487 308 125.324 20070 33900 1.82764e+06 0.438786 0 4
2328.2 0.796541 0.392165 0.102341 0.489039 -0.498959 -0.445141 0.560116 -0.440286 0 0 0 0.440286 36605 0.609469 0.814676 212 7017 1422 331.891 20070 33900 1.82764e+06 0.438786 0.006 5
2328.2 0.85735 -0.282023 0.177665 0.612024 0.523389 -0.526038 -0.27345 -0.809688 0 0 0 0.809688 21287 0.849261 0.912544 24 730 308 75.0345 20070 33900 1.82764e+06 0.438786 1.48361 7
2328.2 0.869214 -0.280303 0.178803 -0.564268 -0.438954 0.598258 0.36195 -0.811188 0 0 0 0.811188 28290 0.731769 0.880934 35 915 404 121.978 20070 33900 1.82764e+06 0.438786 1.48961 8
2328.2 0.811895 0.138595 0.441952 0.692193 0.170782 -0.688676 0.132017 -0.620529 0 0 0 0.620529 23335 0.604481 0.780683 102 2376 362 120.712 20070 33900 1.82764e+06 0.438786 0.726972 7
2328.2 0.823674 0.141092 0.442019 -0.704188 -0.0660472 0.706419 -0.0269939 -0.622029 0 0 0 0.622029 33991 0.633207 0.77532 106 2992 441 168.393 20070 33900 1.82764e+06 0.438786 0.732972 8
2328.2 0.278308 0.831305 0.103551 0.5327 -0.241471 -0.23559 0.776157 -0.658179 0 0 0 0.658179 49346 0.796507 0.537486 270 34749 313 194.514 20070 33900 1.82764e+06 0.658179 0 4
2328.2 0.285937 0.840543 0.102341 0.642757 -0.273831 -0.19691 0.687828 -0.659679 0 0 0 0.659679 70902 0.80214 0.654518 338 34192 665 277.169 20070 33900 1.82764e+06 0.658179 0.006 5
2328.2 0.805659 0.406817 0.177665 0.365144 0.71776 -0.590641 -0.0513285 -1.02908 0 0 0 1.02908 14494 0.570588 0.918581 81 2214 1167 167.079 20070 33900 1.82764e+06 0.658179 1.48361 7
2328.2 0.812831 0.416423 0.178803 -0.353336 -0.621477 0.691231 0.105455 -1.03058 0 0 0 1.03058 12290 0.473292 0.860915 117 3679 999 186.24 20070 33900 1.82764e+06 0.658179 1.48961 8
2328.2 0.476095 0.672098 0.441952 -0.574148 -0.422672 0.585733 -0.385512 -0.839922 0 0 0 0.839922 23143 0.570818 0.642109 252 15426 591 190.784 20070 33900 1.82764e+06 0.658179 0.726972 7
2328.2 0.482658 0.682193 0.442019 -0.62531 -0.330501 0.642316 -0.295274 -0.841422 0 0 0 0.841422 47452 0.658029 0.654517 328 22119 970 254.969 20070 33900 1.82764e+06 0.658179 0.732972 8
