
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
2104.73 0.784615 0.391029 0.103551 0.399744 -0.426945 -0.514679 0.626919 -0.707688 0 0 0 0.707688 16352 0.637348 0.675356 156 8765 321 117.231 11277.7 19711 1.2108e+06 0.438786 1.07561 7
2104.73 0.796541 0.392165 0.102341 0.489039 -0.498959 -0.445141 0.560116 -0.709188 0 0 0 0.709188 35162 0.759671 0.783908 192 12118 726 175.117 11277.7 19711 1.2108e+06 0.438786 1.08161 8
2104.73 0.85735 -0.282023 0.177665 0.612024 0.523389 -0.526038 -0.27345 -0.438786 0 0 0 0.438786 15212 0.939927 0.904433 25 2023 60 38.3448 11277.7 19711 1.2108e+06 0.438786 0 4
2104.73 0.869214 -0.280303 0.178803 -0.564268 -0.438954 0.598258 0.36195 -0.440286 0 0 0 0.440286 26970 0.912402 0.887483 49 3479 139 70.6448 11277.7 19711 1.2108e+06 0.438786 0.006 5
2104.73 0.811895 0.138595 0.441952 0.692193 0.170782 -0.688676 0.132017 -0.644301 0 0 0 0.644301 28196 0.785802 0.76636 125 3756 501 111.028 11277.7 19711 1.2108e+06 0.438786 0.822059 7
2104.73 0.823674 0.141092 0.442019 -0.704188 -0.0660472 0.706419 -0.0269939 -0.645801 0 0 0 0.645801 30437 0.753061 0.77426 129 4101 508 135.444 11277.7 19711 1.2108e+06 0.438786 0.828059 8
2104.73 0.278308 0.831305 0.103551 0.5327 -0.241471 -0.23559 0.776157 -0.927082 0 0 0 0.927082 70721 0.998487 0.659416 266 69382 4 174.276 11277.7 19711 1.2108e+06 0.658179 1.07561 7
2104.73 0.285937 0.840543 0.102341 0.642757 -0.273831 -0.19691 0.687828 -0.928582 0 0 0 0.928582 88022 0.980935 0.746138 309 72380 72 215.037 11277.7 19711 1.2108e+06 0.658179 1.08161 8
2104.73 0.805659 0.406817 0.177665 0.365144 0.71776 -0.590641 -0.0513285 -0.658179 0 0 0 0.658179 9663 0.840945 0.761858 38 1837 214 30.3345 11277.7 19711 1.2108e+06 0.658179 0 4
2104.73 0.812831 0.416423 0.178803 -0.353336 -0.621477 0.691231 0.105455 -0.659679 0 0 0 0.659679 17893 0.715193 0.765709 129 5508 445 88.869 11277.7 19711 1.2108e+06 0.658179 0.006 5
2104.73 0.476095 0.672098 0.441952 -0.574148 -0.422672 0.585733 -0.385512 -0.863694 0 0 0 0.863694 40327 0.823763 0.729269 253 24345 671 158.841 11277.7 19711 1.2108e+06 0.658179 0.822059 7
2104.73 0.482658 0.682193 0.442019 -0.62531 -0.330501 0.642316 -0.295274 -0.865194 0 0 0 0.865194 59999 0.844926 0.712413 325 32363 809 215.027 11277.7 19711 1.2108e+06 0.658179 0.828059 8
2104.73 -0.391029 0.784615 0.103551 0.584558 -0.0192341 0.0793654 0.807232 -1.14647 0 0 0 1.14647 29188 0.675576 0.652213 245 17129 435 144.213 11277.7 19711 1.2108e+06 0.877572 1.07561 7
2104.73 -0.392165 0.796541 0.102341 0.69862 -0.00701452 0.0812994 0.710824 -1.14797 0 0 0 1.14797 55800 0.785371 0.827193 302 23318 740 284.992 11277.7 19711 1.2108e+06 0.877572 1.08161 8
2104.73 0.282023 0.85735 0.177665 0.062674 0.802858 -0.565323 0.178607 -0.877572 0 0 0 0.877572 16887 0.956353 0.892218 35 4566 88 62.5897 11277.7 19711 1.2108e+06 0.877572 0 4
2104.73 0.280303 0.869214 0.178803 0.0886107 0.709385 -0.67897 0.167095 -0.879072 0 0 0 0.879072 47435 0.987061 0.800716 171 38842 75 127.124 11277.7 19711 1.2108e+06 0.877572 0.006 5
2104.73 -0.138595 0.811895 0.441952 0.368694 0.610215 -0.393617 0.580317 -1.08309 0 0 0 1.08309 50763 0.936347 0.716078 240 41279 220 155.997 11277.7 19711 1.2108e+06 0.877572 0.822059 7
2104.73 -0.141092 0.823674 0.442019 0.451234 0.544639 -0.480426 0.518602 -1.08459 0 0 0 1.08459 63593 0.870069 0.712084 334 47961 392 219.59 11277.7 19711 1.2108e+06 0.877572 0.828059 8
2104.73 -0.831305 0.278308 0.103551 0.547421 0.205931 0.382238 0.715413 -1.36587 0 0 0 1.36587 3751 0.485094 0.782194 111 2709 222 66.9793 11277.7 19711 1.2108e+06 1.09697 1.07561 7
2104.73 -0.840543 0.285937 0.102341 0.648125 0.26087 0.347131 0.625604 -1.36737 0 0 0 1.36737 16831 0.632627 0.773768 194 8280 750 137.338 11277.7 19711 1.2108e+06 1.09697 1.08161 8
2104.73 -0.406817 0.805659 0.177665 -0.249337 0.765728 -0.453941 0.381351 -1.09697 0 0 0 1.09697 9160 0.943201 0.917949 16 1842 88 21.1 11277.7 19711 1.2108e+06 1.09697 0 4
2104.73 -0.416423 0.812831 0.178803 -0.189604 0.689297 -0.563342 0.414206 -1.09847 0 0 0 1.09847 23008 0.78597 0.788579 111 11320 241 75.7138 11277.7 19711 1.2108e+06 1.09697 0.006 5
2104.73 -0.672098 0.476095 0.441952 0.107109 0.704858 -0.141577 0.686774 -1.30248 0 0 0 1.30248 11891 0.59876 0.813524 127 6155 347 91.3586 11277.7 19711 1.2108e+06 1.09697 0.822059 7
2104.73 -0.682193 0.482658 0.442019 0.208461 0.67586 -0.245396 0.662977 -1.30398 0 0 0 1.30398 13713 0.529141 0.773793 198 9225 527 137.948 11277.7 19711 1.2108e+06 1.09697 0.828059 8
2104.73 -0.784615 -0.391029 0.103551 0.426945 0.399744 0.626919 0.514679 -0.707688 0 0 0 0.707688 15337 0.649577 0.889655 17 151 609 75.5034 11277.7 19711 1.2108e+06 0.438786 1.07561 7
2104.73 -0.796541 -0.392165 0.102341 0.498959 0.489039 0.560116 0.445141 -0.709188 0 0 0 0.709188 36111 0.758965 0.908685 54 1379 1234 160.969 11277.7 19711 1.2108e+06 0.438786 1.08161 8
2104.73 -0.85735 0.282023 0.177665 -0.523389 0.612024 -0.27345 0.526038 -0.438786 0 0 0 0.438786 5329 0.561055 0.927944 54 372 1053 263.19 11277.7 19711 1.2108e+06 0.438786 0 4
2104.73 -0.869214 0.280303 0.178803 -0.438954 0.564268 -0.36195 0.598258 -0.440286 0 0 0 0.440286 4211 0.530434 0.929321 38 1733 310 86.1897 11277.7 19711 1.2108e+06 0.438786 0.006 5
2104.73 -0.811895 -0.138595 0.441952 -0.170782 0.692193 0.132017 0.688676 -0.644301 0 0 0 0.644301 16121 0.678511 0.878605 28 551 422 95.8793 11277.7 19711 1.2108e+06 0.438786 0.822059 7
2104.73 -0.823674 -0.141092 0.442019 -0.0660472 0.704188 0.0269939 0.706419 -0.645801 0 0 0 0.645801 16148 0.660733 0.912399 36 759 431 102.234 11277.7 19711 1.2108e+06 0.438786 0.828059 8
2104.73 -0.278308 -0.831305 0.103551 0.241471 0.5327 0.776157 0.23559 -0.488295 0 0 0 0.488295 12705 0.530629 0.890589 0 0 427 106.503 11277.7 19711 1.2108e+06 0.219393 1.07561 7
2104.73 -0.285937 -0.840543 0.102341 0.273831 0.642757 0.687828 0.19691 -0.489795 0 0 0 0.489795 29418 0.602368 0.954883 5 6 855 192.824 11277.7 19711 1.2108e+06 0.219393 1.08161 8
2104.73 -0.805659 -0.406817 0.177665 -0.71776 0.365144 -0.0513285 0.590641 -0.219393 0 0 0 0.219393 41294 0.836556 0.938308 27 1420 1548 194.29 11277.7 19711 1.2108e+06 0.219393 0 4
2104.73 -0.812831 -0.416423 0.178803 -0.621477 0.353336 -0.105455 0.691231 -0.220893 0 0 0 0.220893 27398 0.789685 0.916512 26 1332 647 102.39 11277.7 19711 1.2108e+06 0.219393 0.006 5
2104.73 -0.476095 -0.672098 0.441952 -0.422672 0.574148 0.385512 0.585733 -0.424908 0 0 0 0.424908 27147 0.643498 0.906716 2 2 872 177.659 11277.7 19711 1.2108e+06 0.219393 0.822059 7
2104.73 -0.482658 -0.682193 0.442019 -0.330501 0.62531 0.295274 0.642316 -0.426408 0 0 0 0.426408 27621 0.641106 0.895147 2 2 873 181.748 11277.7 19711 1.2108e+06 0.219393 0.828059 8
2104.73 0.391029 -0.784615 0.103551 0.0192341 0.584558 0.807232 -0.0793654 -0.268902 0 0 0 0.268902 27867 0.820066 0.901804 0 0 48 82.9138 11277.7 19711 1.2108e+06 0 1.07561 3
2104.73 0.392165 -0.796541 0.102341 0.00701452 0.69862 0.710824 -0.0812994 -0.270402 0 0 0 0.270402 48615 0.868818 0.92789 14 1738 97 134.014 11277.7 19711 1.2108e+06 0 1.08161 4
2104.73 0.138595 -0.811895 0.441952 0.610215 -0.368694 -0.580317 -0.393617 -0.205515 0 0 0 0.205515 42908 0.72964 0.908046 3 3 652 183.448 11277.7 19711 1.2108e+06 0 0.822059 3
2104.73 0.141092 -0.823674 0.442019 0.544639 -0.451234 -0.518602 -0.480426 -0.207015 0 0 0 0.207015 45525 0.759205 0.912916 3 5 379 192.414 11277.7 19711 1.2108e+06 0 0.828059 4
2104.73 0.831305 -0.278308 0.103551 -0.205931 0.547421 0.715413 -0.382238 -0.488295 0 0 0 0.488295 15264 0.831106 0.839775 48 1073 84 49.8897 11277.7 19711 1.2108e+06 0.219393 1.07561 7
