cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0

Retrieved for step: 4 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
4156.81 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0 0 0 0 0 578 0.394045 0.896736 9 206 161 165.49 16948.4 30560 1.1853e+06
4156.81 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0 0 0 0 0 23421 0.531972 0.921215 74 3627 1380 293.969 16948.4 30560 1.1853e+06
4156.81 0.404629 -0.80676 0.177665 0.766066 0.248298 -0.380735 -0.454458 0 0 0 0 0 8519 0.529994 0.908121 138 3014 1265 235.3 16948.4 30560 1.1853e+06
4156.81 0.414215 -0.813958 0.178803 -0.689553 -0.188669 0.413441 0.563903 0 0 0 0 0 10342 0.503119 0.907711 166 7694 543 157.29 16948.4 30560 1.1853e+06
4156.81 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 0 0 0 0 0 13166 0.631815 0.901425 83 3354 553 123.59 16948.4 30560 1.1853e+06
4156.81 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0 0 0 0 0 21932 0.615908 0.901423 76 2926 807 235.645 16948.4 30560 1.1853e+06
4156.81 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0 0 0 0 0 14111 0.497261 0.902499 12 422 1525 255.169 16948.4 30560 1.1853e+06
4156.81 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0 0 0 0 0 26207 0.739045 0.89846 115 2463 936 175.145 16948.4 30560 1.1853e+06
4156.81 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0 0 0 0 0 22430 0.600559 0.892464 87 2862 555 182.19 16948.4 30560 1.1853e+06
4156.81 0.812268 0.136391 0.441952 0.692424 0.169842 -0.688854 0.131082 0 0 0 0 0 28535 0.671926 0.887152 31 850 438 144.114 16948.4 30560 1.1853e+06
4156.81 0.824054 0.138856 0.442019 -0.704277 -0.0650913 0.706455 -0.026035 0 0 0 0 0 44296 0.708509 0.899296 25 868 664 255.914 16948.4 30560 1.1853e+06
4156.81 0.280563 0.830547 0.103551 0.532372 -0.242193 -0.236644 0.775836 0 0 0 0 0 18585 0.563863 0.901855 49 2187 818 180.645 16948.4 30560 1.1853e+06
4156.81 0.288218 0.839763 0.102341 0.642384 -0.274703 -0.197843 0.68756 0 0 0 0 0 23573 0.568913 0.936483 47 2051 1050 204.727 16948.4 30560 1.1853e+06
4156.81 0.80676 0.404629 0.177665 0.366118 0.717264 -0.59057 -0.0521301 0 0 0 0 0 36971 0.766522 0.960129 39 2701 1084 161.7 16948.4 30560 1.1853e+06
4156.81 0.813958 0.414215 0.178803 -0.354179 -0.620997 0.691087 0.106393 0 0 0 0 0 39416 0.663056 0.926844 28 563 1219 224.29 16948.4 30560 1.1853e+06
4156.81 0.484508 0.68088 0.442019 -0.625758 -0.329652 0.642717 -0.294402 0 0 0 0 0 23124 0.611781 0.90055 72 8539 2972 277.062 16948.4 30560 1.1853e+06
4156.81 -0.388897 0.785673 0.103551 0.584531 -0.0200275 0.0782696 0.807339 0 0 0 0 0 13739 0.61297 0.945879 70 6064 313 117.534 16948.4 30560 1.1853e+06
4156.81 -0.390001 0.797603 0.102341 0.69861 -0.00796278 0.0803345 0.710934 0 0 0 0 0 15744 0.594112 0.944828 63 2971 473 166.19 16948.4 30560 1.1853e+06
4156.81 0.28435 0.856581 0.177665 0.0637637 0.802772 -0.565565 0.17784 0 0 0 0 0 9536 0.593865 0.95092 16 343 718 85.5 16948.4 30560 1.1853e+06
4156.81 0.282661 0.868449 0.178803 0.0895735 0.709265 -0.679196 0.166173 0 0 0 0 0 12503 0.539387 0.941182 20 209 968 166.234 16948.4 30560 1.1853e+06
4156.81 -0.136391 0.812268 0.441952 0.369521 0.609714 -0.394404 0.579782 0 0 0 0 0 84195 0.837635 0.912747 183 30814 360 265.29 16948.4 30560 1.1853e+06
4156.81 -0.138856 0.824054 0.442019 0.451972 0.544026 -0.48113 0.517949 0 0 0 0 0 77302 0.915211 0.87393 202 32007 280 248.862 16948.4 30560 1.1853e+06
4156.81 -0.830547 0.280563 0.103551 0.5477 0.205187 0.381267 0.715932 0 0 0 0 0 18776 0.79514 0.988506 4 169 250 88 16948.4 30560 1.1853e+06
4156.81 -0.839763 0.288218 0.102341 0.648479 0.25999 0.346282 0.626075 0 0 0 0 0 40793 0.813923 0.972093 33 1197 622 176.8 16948.4 30560 1.1853e+06
4156.81 -0.404629 0.80676 0.177665 -0.248298 0.766066 -0.454458 0.380735 0 0 0 0 0 4918 0.530122 0.987097 15 369 260 47.1 16948.4 30560 1.1853e+06
4156.81 -0.414215 0.813958 0.178803 -0.188669 0.689553 -0.563903 0.413441 0 0 0 0 0 14662 0.559862 0.926348 56 3401 556 165.879 16948.4 30560 1.1853e+06
4156.81 -0.670803 0.477918 0.441952 0.108066 0.704712 -0.142509 0.686581 0 0 0 0 0 93691 0.930289 0.908551 197 31145 315 249.396 16948.4 30560 1.1853e+06
4156.81 -0.68088 0.484508 0.442019 0.209379 0.675576 -0.246296 0.662643 0 0 0 0 0 101845 0.907672 0.932089 155 21628 418 258.434 16948.4 30560 1.1853e+06
