cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0

Retrieved for step: 7 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
4556.7 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0 0 0 0 0 500 0.350232 0.886795 9 166 123 166.424 18853.4 32866 1.59315e+06
4556.7 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0 0 0 0 0 23056 0.500206 0.905125 87 3326 1555 306.565 18853.4 32866 1.59315e+06
4556.7 0.404629 -0.80676 0.177665 0.766066 0.248298 -0.380735 -0.454458 0 0 0 0 0 7690 0.430854 0.901863 141 3169 1107 238.845 18853.4 32866 1.59315e+06
4556.7 0.414215 -0.813958 0.178803 -0.689553 -0.188669 0.413441 0.563903 0 0 0 0 0 9884 0.40034 0.842967 181 7996 462 175.869 18853.4 32866 1.59315e+06
4556.7 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 0 0 0 0 0 11786 0.597756 0.872517 92 3629 364 132.479 18853.4 32866 1.59315e+06
4556.7 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0 0 0 0 0 20370 0.596212 0.876367 81 3218 591 245.514 18853.4 32866 1.59315e+06
4556.7 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0 0 0 0 0 12478 0.435403 0.890899 10 190 1456 271.175 18853.4 32866 1.59315e+06
4556.7 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0 0 0 0 0 24866 0.698986 0.899409 115 2097 1036 176.645 18853.4 32866 1.59315e+06
4556.7 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0 0 0 0 0 20923 0.53662 0.875985 91 2593 618 188.834 18853.4 32866 1.59315e+06
4556.7 0.812268 0.136391 0.441952 0.692424 0.169842 -0.688854 0.131082 0 0 0 0 0 28724 0.656258 0.882732 31 848 431 145.803 18853.4 32866 1.59315e+06
