cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0

Retrieved for step: 5 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
4286.87 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0 0 0 0 0 607 0.394121 0.894069 10 235 161 165.89 17572.7 31120 1.3689e+06
4286.87 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0 0 0 0 0 23415 0.532211 0.916126 74 3623 1381 294.814 17572.7 31120 1.3689e+06
4286.87 0.404629 -0.80676 0.177665 0.766066 0.248298 -0.380735 -0.454458 0 0 0 0 0 7423 0.480495 0.903033 137 3006 1096 236.945 17572.7 31120 1.3689e+06
4286.87 0.414215 -0.813958 0.178803 -0.689553 -0.188669 0.413441 0.563903 0 0 0 0 0 10602 0.459269 0.870579 173 8115 507 166.59 17572.7 31120 1.3689e+06
4286.87 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 0 0 0 0 0 13586 0.631955 0.875504 88 3384 574 129.879 17572.7 31120 1.3689e+06
4286.87 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0 0 0 0 0 22513 0.616515 0.883328 80 3128 821 243.434 17572.7 31120 1.3689e+06
4286.87 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0 0 0 0 0 12060 0.457834 0.898014 17 421 1416 257.314 17572.7 31120 1.3689e+06
4286.87 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0 0 0 0 0 26323 0.738608 0.897525 115 2463 942 175.845 17572.7 31120 1.3689e+06
4286.87 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0 0 0 0 0 22642 0.601044 0.887072 89 2906 561 184.19 17572.7 31120 1.3689e+06
4286.87 0.812268 0.136391 0.441952 0.692424 0.169842 -0.688854 0.131082 0 0 0 0 0 28505 0.670663 0.885608 31 848 437 144.314 17572.7 31120 1.3689e+06
