cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0

Retrieved for step: 13 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
5524.46 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0 0 0 0 0 352 0.279139 0.661088 7 171 50 201.506 32376.8 54936 2.58638e+06
5524.46 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0 0 0 0 0 14995 0.424887 0.810431 80 1297 2055 384.825 32376.8 54936 2.58638e+06
5524.46 0.404629 -0.80676 0.177665 0.766066 0.248298 -0.380735 -0.454458 0 0 0 0 0 5713 0.355005 0.904508 91 490 1299 363.703 32376.8 54936 2.58638e+06
5524.46 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 0 0 0 0 0 4708 0.389614 0.822318 13 328 334 193.14 32376.8 54936 2.58638e+06
5524.46 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0 0 0 0 0 8844 0.386911 0.73963 19 560 356 311.311 32376.8 54936 2.58638e+06
5524.46 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0 0 0 0 0 24821 0.479098 0.811703 63 2574 2060 358.271 32376.8 54936 2.58638e+06
5524.46 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0 0 0 0 0 23584 0.550259 0.913482 98 811 2387 289.014 32376.8 54936 2.58638e+06
5524.46 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0 0 0 0 0 18499 0.457781 0.864401 41 455 1310 279.925 32376.8 54936 2.58638e+06
5524.46 0.280563 0.830547 0.103551 0.532372 -0.242193 -0.236644 0.775836 0 0 0 0 0 12346 0.464276 0.830863 11 357 698 199.922 32376.8 54936 2.58638e+06
5524.46 0.288218 0.839763 0.102341 0.642384 -0.274703 -0.197843 0.68756 0 0 0 0 0 33604 0.564512 0.844305 68 3221 1687 308.571 32376.8 54936 2.58638e+06
