cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0

Retrieved for step: 14 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
5687.8 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0 0 0 0 0 352 0.279139 0.661088 7 171 50 201.506 32495.4 55000 2.61884e+06
5687.8 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0 0 0 0 0 14998 0.424803 0.808987 80 1297 2055 385.293 32495.4 55000 2.61884e+06
5687.8 0.404629 -0.80676 0.177665 0.766066 0.248298 -0.380735 -0.454458 0 0 0 0 0 5603 0.353165 0.90272 93 512 1277 363.748 32495.4 55000 2.61884e+06
5687.8 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 0 0 0 0 0 4635 0.38778 0.814589 14 333 326 193.222 32495.4 55000 2.61884e+06
5687.8 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0 0 0 0 0 8839 0.386389 0.736072 18 548 356 312.19 32495.4 55000 2.61884e+06
5687.8 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0 0 0 0 0 24821 0.479016 0.812233 63 2574 2060 358.112 32495.4 55000 2.61884e+06
5687.8 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0 0 0 0 0 23580 0.549439 0.912186 97 812 2381 289.359 32495.4 55000 2.61884e+06
5687.8 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0 0 0 0 0 18508 0.457293 0.86359 43 457 1310 280.125 32495.4 55000 2.61884e+06
5687.8 0.280563 0.830547 0.103551 0.532372 -0.242193 -0.236644 0.775836 0 0 0 0 0 11916 0.44727 0.830863 11 357 680 199.922 32495.4 55000 2.61884e+06
5687.8 0.288218 0.839763 0.102341 0.642384 -0.274703 -0.197843 0.68756 0 0 0 0 0 33432 0.557537 0.845054 65 3196 1651 308.371 32495.4 55000 2.61884e+06
5687.8 0.813958 0.414215 0.178803 -0.354179 -0.620997 0.691087 0.106393 0 0 0 0 0 24305 0.497223 0.869909 33 281 2006 279.132 32495.4 55000 2.61884e+06
5687.8 0.484508 0.68088 0.442019 -0.625758 -0.329652 0.642717 -0.294402 0 0 0 0 0 16245 0.485423 0.816765 25 562 2731 337.222 32495.4 55000 2.61884e+06
5687.8 -0.390001 0.797603 0.102341 0.69861 -0.00796278 0.0803345 0.710934 0 0 0 0 0 11825 0.403412 0.815828 80 2247 857 300.78 32495.4 55000 2.61884e+06
5687.8 0.28435 0.856581 0.177665 0.0637637 0.802772 -0.565565 0.17784 0 0 0 0 0 14912 0.566267 0.92405 52 962 1335 178.608 32495.4 55000 2.61884e+06
5687.8 0.282661 0.868449 0.178803 0.0895735 0.709265 -0.679196 0.166173 0 0 0 0 0 15682 0.509334 0.890526 34 327 1417 246.858 32495.4 55000 2.61884e+06
5687.8 -0.138856 0.824054 0.442019 0.451972 0.544026 -0.48113 0.517949 0 0 0 0 0 4765 0.372453 0.871223 60 1813 476 317.751 32495.4 55000 2.61884e+06
5687.8 -0.830547 0.280563 0.103551 0.5477 0.205187 0.381267 0.715932 0 0 0 0 0 454 0.309086 0.832327 20 346 84 108.01 32495.4 55000 2.61884e+06
5687.8 -0.404629 0.80676 0.177665 -0.248298 0.766066 -0.454458 0.380735 0 0 0 0 0 7534 0.409539 0.894238 56 1302 637 131.586 32495.4 55000 2.61884e+06
5687.8 -0.414215 0.813958 0.178803 -0.188669 0.689553 -0.563903 0.413441 0 0 0 0 0 6714 0.339112 0.855362 43 639 645 250.676 32495.4 55000 2.61884e+06
5687.8 -0.670803 0.477918 0.441952 0.108066 0.704712 -0.142509 0.686581 0 0 0 0 0 8051 0.434773 0.862698 53 1835 285 296.836 32495.4 55000 2.61884e+06
5687.8 -0.68088 0.484508 0.442019 0.209379 0.675576 -0.246296 0.662643 0 0 0 0 0 10365 0.458957 0.839123 69 2580 206 302.408 32495.4 55000 2.61884e+06
5687.8 -0.785673 -0.388897 0.103551 0.427487 0.399164 0.62622 0.51553 0 0 0 0 0 326 0.278388 0.806455 4 167 55 107.419 32495.4 55000 2.61884e+06
5687.8 -0.856581 0.28435 0.177665 -0.522558 0.612733 -0.274163 0.525666 0 0 0 0 0 15695 0.576649 0.880637 96 644 1042 203.724 32495.4 55000 2.61884e+06
5687.8 -0.868449 0.282661 0.178803 -0.438188 0.564864 -0.362762 0.597766 0 0 0 0 0 20241 0.477829 0.833785 76 1446 482 257.734 32495.4 55000 2.61884e+06
5687.8 -0.812268 -0.136391 0.441952 -0.169842 0.692424 0.131082 0.688854 0 0 0 0 0 16217 0.546843 0.819969 52 2350 726 265.507 32495.4 55000 2.61884e+06
