cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 5 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2363.72 0.502247 -0.604025 0.103551 -0.0338523 0.583893 0.79671 -0.152237 1723.29 0 0 0 1.22245 4411 0.484935 0.947405 10 126 417 152.1 24787.8 44892 1.09697 0.501936 8
2363.72 -0.1466 -0.797125 0.177665 -0.805234 -0.0103867 0.229134 0.546798 4573.39 0 0 0 1.29228 25690 0.694042 0.938304 63 271 2080 353.545 24787.8 44892 1.09697 0.781266 8
2363.72 -0.142764 -0.808483 0.178803 -0.714498 0.0239192 0.227975 0.66102 4806.1 0 0 0 1.29078 20164 0.678154 0.954357 29 449 1715 223.245 24787.8 44892 1.09697 0.775266 7
2363.72 0.258892 -0.676449 0.441952 0.641134 -0.311841 -0.613619 -0.339373 2874.9 0 0 0 1.09847 5415 0.526964 0.922787 8 230 1014 208.979 24787.8 44892 1.09697 0.006 5
2363.72 0.263476 -0.687584 0.442019 0.583312 -0.399987 -0.56003 -0.431421 3396.37 0 0 0 1.09697 5790 0.526573 0.923642 17 350 852 247.024 24787.8 44892 1.09697 0 4
2363.72 0.782253 -0.0719681 0.103551 -0.254722 0.526493 0.677805 -0.445537 11395.9 0 0 0 1.00306 27470 0.670707 0.935196 62 1949 682 190.6 24787.8 44892 0.877572 0.501936 8
2363.72 0.792716 -0.0778039 0.102341 -0.318567 0.6218 0.591549 -0.402431 19932.6 0 0 0 1.00156 53167 0.788243 0.944102 79 3629 679 240.745 24787.8 44892 0.877572 0.495936 7
2363.72 0.459991 -0.667314 0.177665 0.739964 0.317746 -0.420943 -0.41749 14696.5 0 0 0 1.07289 25397 0.713442 0.914815 170 2015 3079 234.4 24787.8 44892 0.877572 0.781266 8
2363.72 0.470734 -0.672633 0.178803 -0.669264 -0.251328 0.463583 0.523461 7812.11 0 0 0 1.07139 20018 0.640127 0.939954 78 859 2436 220.49 24787.8 44892 0.877572 0.775266 7
2363.72 0.661386 -0.295257 0.441952 0.711667 -0.042752 -0.696783 -0.0787178 7856.75 0 0 0 0.879072 9836 0.555462 0.958788 38 1235 840 171.8 24787.8 44892 0.877572 0.006 5
2363.72 0.672501 -0.29989 0.442019 0.691979 -0.146316 -0.682497 -0.184267 10478.8 0 0 0 0.877572 12681 0.564357 0.948889 53 1717 870 283.8 24787.8 44892 0.877572 0 4
2363.72 0.604025 0.502247 0.103551 0.436812 -0.388938 -0.455711 0.671007 25825.9 0 0 0 0.783663 17815 0.529465 0.914286 113 4656 1280 243.2 24787.8 44892 0.658179 0.501936 8
2363.72 0.61555 0.505519 0.102341 0.53227 -0.452558 -0.392516 0.598173 17111.8 0 0 0 0.782163 31884 0.637761 0.938983 77 2944 1255 281.7 24787.8 44892 0.658179 0.495936 7
2363.72 0.797125 -0.1466 0.177665 0.562042 0.576731 -0.548667 -0.224622 19853.7 0 0 0 0.853496 41583 0.892803 0.913178 97 3587 836 140.2 24787.8 44892 0.658179 0.781266 8
2363.72 0.808483 -0.142764 0.178803 -0.52214 -0.488313 0.628615 0.306209 14168.5 0 0 0 0.851996 42796 0.83065 0.936145 82 2431 958 176.6 24787.8 44892 0.658179 0.775266 7
2363.72 0.676449 0.258892 0.441952 -0.673855 -0.232845 0.673867 -0.193921 13586.1 0 0 0 0.659679 10981 0.586619 0.953763 82 2227 1369 194.6 24787.8 44892 0.658179 0.006 5
2363.72 0.687584 0.263476 0.442019 -0.695298 -0.12963 0.701061 -0.0909401 25103.2 0 0 0 0.658179 13472 0.597502 0.941639 120 4515 1134 322.8 24787.8 44892 0.658179 0 4
2363.72 0.0778039 0.792716 0.102341 0.664939 -0.214418 -0.133727 0.70285 24985.3 0 0 0 0.56277 47617 0.806668 0.939099 73 4607 880 234.99 24787.8 44892 0.438786 0.495936 7
2363.72 0.667314 0.459991 0.177665 0.298554 0.747914 -0.592862 0.00244171 6500.16 0 0 0 0.634103 14193 0.699515 0.925926 42 1036 574 72.5 24787.8 44892 0.438786 0.781266 8
2363.72 0.672633 0.470734 0.178803 -0.295525 -0.650957 0.697945 0.0423402 13086 0 0 0 0.632603 13774 0.573916 0.930769 66 2307 616 139 24787.8 44892 0.438786 0.775266 7
2363.72 0.295257 0.661386 0.441952 -0.533455 -0.472994 0.548362 -0.437038 51526.5 0 0 0 0.440286 45853 0.842315 0.877973 125 9842 1039 212.624 24787.8 44892 0.438786 0.006 5
2363.72 0.29989 0.672501 0.442019 -0.592764 -0.385842 0.612895 -0.352302 52006.3 0 0 0 0.438786 74730 0.843893 0.916258 123 9858 1308 334.334 24787.8 44892 0.438786 0 4
2363.72 -0.502247 0.604025 0.103551 0.583893 0.0338523 0.152237 0.79671 1990.4 0 0 0 0.344877 4242 0.500872 0.952 18 179 411 117.9 24787.8 44892 0.219393 0.501936 8
2363.72 -0.505519 0.61555 0.102341 0.696378 0.0563646 0.145421 0.700523 23164.7 0 0 0 0.343377 20685 0.640136 0.939148 113 4138 1178 261.5 24787.8 44892 0.219393 0.495936 7
2363.72 0.1466 0.797125 0.177665 -0.0103867 0.805234 -0.546798 0.229134 8134.6 0 0 0 0.41471 15500 0.776042 0.922449 48 1361 522 105.6 24787.8 44892 0.219393 0.781266 8
2363.72 0.142764 0.808483 0.178803 0.0239192 0.714498 -0.66102 0.227975 5600.05 0 0 0 0.41321 12359 0.652832 0.925191 41 868 451 140.8 24787.8 44892 0.219393 0.775266 7
2363.72 -0.258892 0.676449 0.441952 0.311841 0.641134 -0.339373 0.613619 9661.45 0 0 0 0.220893 21903 0.656508 0.949302 38 1373 1838 293.145 24787.8 44892 0.219393 0.006 5
2363.72 -0.782253 0.0719681 0.103551 0.526493 0.254722 0.445537 0.677805 1879.58 0 0 0 0.125484 3431 0.444676 0.943262 9 157 503 74.5 24787.8 44892 0 0.501936 4
2363.72 -0.792716 0.0778039 0.102341 0.6218 0.318567 0.402431 0.591549 31341.6 0 0 0 0.123984 36166 0.694673 0.934004 121 5696 1524 264.9 24787.8 44892 0 0.495936 3
2363.72 -0.459991 0.667314 0.177665 -0.317746 0.739964 -0.41749 0.420943 9198.88 0 0 0 0.195316 17496 0.851414 0.938462 19 1625 426 82.8 24787.8 44892 0 0.781266 4
2363.72 -0.470734 0.672633 0.178803 -0.251328 0.669264 -0.523461 0.463583 13390.4 0 0 0 0.193816 24550 0.666212 0.937411 44 2347 804 162.045 24787.8 44892 0 0.775266 3
2363.72 -0.661386 0.295257 0.441952 0.042752 0.711667 -0.0787178 0.696783 10305.5 0 0 0 0.0015 6275 0.496085 0.952244 64 1719 643 270.845 24787.8 44892 0 0.006 1
2363.72 -0.604025 -0.502247 0.103551 0.388938 0.436812 0.671007 0.455711 977.488 0 0 0 1.66124 8734 0.58389 0.951807 0 0 414 87 24787.8 44892 1.53575 0.501936 8
2363.72 -0.61555 -0.505519 0.102341 0.452558 0.53227 0.598173 0.392516 6841.74 0 0 0 1.65974 36487 0.696452 0.959392 47 855 1535 316.345 24787.8 44892 1.53575 0.495936 7
2363.72 -0.797125 0.1466 0.177665 -0.576731 0.562042 -0.224622 0.548667 6181.36 0 0 0 1.73107 4794 0.54758 0.95102 41 941 564 231.3 24787.8 44892 1.53575 0.781266 8
2363.72 -0.808483 0.142764 0.178803 -0.488313 0.52214 -0.306209 0.628615 13089.4 0 0 0 1.72957 4443 0.423244 0.929193 59 2386 227 172.4 24787.8 44892 1.53575 0.775266 7
2363.72 -0.676449 -0.258892 0.441952 -0.232845 0.673855 0.193921 0.673867 6274.52 0 0 0 1.53725 23097 0.538526 0.919791 46 970 477 257.09 24787.8 44892 1.53575 0.006 5
2363.72 -0.687584 -0.263476 0.442019 -0.12963 0.695298 0.0909401 0.701061 7195.73 0 0 0 1.53575 23994 0.550027 0.928171 43 1156 496 240.09 24787.8 44892 1.53575 0 4
2363.72 -0.0719681 -0.782253 0.103551 0.192171 0.552402 0.794322 0.164238 1754.56 0 0 0 1.44184 11147 0.638196 0.932653 1 65 853 104.6 24787.8 44892 1.31636 0.501936 8
2363.72 -0.0778039 -0.792716 0.102341 0.214418 0.664939 0.70285 0.133727 5195.75 0 0 0 1.44034 30800 0.737957 0.947052 37 456 2028 228.49 24787.8 44892 1.31636 0.495936 7
2363.72 -0.667314 -0.459991 0.177665 -0.747914 0.298554 0.00244171 0.592862 8104.02 0 0 0 1.51168 31629 0.800593 0.957447 45 1183 1313 171.5 24787.8 44892 1.31636 0.781266 8
2363.72 -0.672633 -0.470734 0.178803 -0.650957 0.295525 -0.0423402 0.697945 11323.8 0 0 0 1.51018 37729 0.675124 0.954767 51 1671 2000 235.7 24787.8 44892 1.31636 0.775266 7
2363.72 -0.295257 -0.661386 0.441952 -0.472994 0.533455 0.437038 0.548362 4900.88 0 0 0 1.31786 1020 0.364252 0.913192 23 791 137 236.924 24787.8 44892 1.31636 0.006 5
2363.72 -0.29989 -0.672501 0.442019 -0.385842 0.592764 0.352302 0.612895 4669.32 0 0 0 1.31636 1220 0.371971 0.929003 20 740 179 225.445 24787.8 44892 1.31636 0 4
