cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 7 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2536.34 -0.459991 0.667314 0.177665 -0.317746 0.739964 -0.41749 0.420943 9354.34 0 0 0 0.632603 17729 0.835311 0.925 19 1648 470 86 29446.4 52843 0.438786 0.775266 7
2536.34 -0.470734 0.672633 0.178803 -0.251328 0.669264 -0.523461 0.463583 13933.8 0 0 0 0.634103 23247 0.623833 0.922149 44 2456 804 168.145 29446.4 52843 0.438786 0.781266 8
2536.34 -0.661386 0.295257 0.441952 0.042752 0.711667 -0.0787178 0.696783 9326.96 0 0 0 0.438786 5345 0.470789 0.944612 63 1552 509 270.179 29446.4 52843 0.438786 0 4
2536.34 -0.604025 -0.502247 0.103551 0.388938 0.436812 0.671007 0.455711 977.488 0 0 0 1.22095 8734 0.58389 0.951807 0 0 414 87 29446.4 52843 1.09697 0.495936 7
2536.34 -0.61555 -0.505519 0.102341 0.452558 0.53227 0.598173 0.392516 6585.55 0 0 0 1.22245 37220 0.692111 0.956227 50 775 1654 327.745 29446.4 52843 1.09697 0.501936 8
2536.34 -0.797125 0.1466 0.177665 -0.576731 0.562042 -0.224622 0.548667 6319.02 0 0 0 1.29078 4927 0.532932 0.956377 51 914 733 282.3 29446.4 52843 1.09697 0.775266 7
2536.34 -0.808483 0.142764 0.178803 -0.488313 0.52214 -0.306209 0.628615 13480.1 0 0 0 1.29228 4437 0.422448 0.934907 68 2423 341 216.214 29446.4 52843 1.09697 0.781266 8
2536.34 -0.676449 -0.258892 0.441952 -0.232845 0.673855 0.193921 0.673867 6480.53 0 0 0 1.09697 1546 0.394646 0.918904 48 1054 255 255.679 29446.4 52843 1.09697 0 4
2536.34 -0.687584 -0.263476 0.442019 -0.12963 0.695298 0.0909401 0.701061 6013 0 0 0 1.09847 2617 0.412672 0.926098 40 960 302 247.534 29446.4 52843 1.09697 0.006 5
2536.34 -0.0719681 -0.782253 0.103551 0.192171 0.552402 0.794322 0.164238 1879.42 0 0 0 1.00156 11227 0.637866 0.930964 3 87 858 105.3 29446.4 52843 0.877572 0.495936 7
2536.34 -0.0778039 -0.792716 0.102341 0.214418 0.664939 0.70285 0.133727 5430.73 0 0 0 1.00306 38478 0.722633 0.923447 54 372 2532 306.279 29446.4 52843 0.877572 0.501936 8
2536.34 -0.667314 -0.459991 0.177665 -0.747914 0.298554 0.00244171 0.592862 16308.9 0 0 0 1.07139 34970 0.689552 0.946946 135 2344 3138 301.7 29446.4 52843 0.877572 0.775266 7
2536.34 -0.672633 -0.470734 0.178803 -0.650957 0.295525 -0.0423402 0.697945 13227.4 0 0 0 1.07289 38160 0.641905 0.956226 73 1878 2717 276.6 29446.4 52843 0.877572 0.781266 8
2536.34 -0.295257 -0.661386 0.441952 -0.472994 0.533455 0.437038 0.548362 5730.84 0 0 0 0.877572 1279 0.361064 0.917515 28 944 166 245.724 29446.4 52843 0.877572 0 4
2536.34 -0.29989 -0.672501 0.442019 -0.385842 0.592764 0.352302 0.612895 5153.79 0 0 0 0.879072 1326 0.372015 0.925049 21 834 188 227.89 29446.4 52843 0.877572 0.006 5
