cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds
5879.22 -0.658087 -0.595981 0.102341 0.426273 0.553544 0.616465 0.363113 267307 146881 61215 85908 3.11688 69664 0.970459 0.876129 220 53089 149 174.2 7502.1 13871
5915.22 0.658087 0.595981 0.102341 0.553544 -0.426273 -0.363113 0.616465 201552 0 71507.4 66491.4 2.87757 94726 0.970364 0.934343 183 39951 203 211 14263.6 26141
5950.2 0.595981 -0.658087 0.102341 -0.089994 0.692835 0.692666 -0.179147 32228.7 17602.1 17592.7 9279.21 1.853 31499 0.633189 0.920336 134 6023 788 194.879 16692.3 30204
5975.49 -0.595981 0.658087 0.102341 0.692835 0.089994 0.179147 0.692666 14271 1290.67 8959.29 3856.43 2.87757 51314 0.824379 0.953806 45 2559 574 199.3 18273.4 32631
6009.77 0.043915 0.88676 0.102341 0.674535 -0.181993 -0.0995617 0.708497 8485.1 0 6907.32 1345.13 0.98476 32760 0.703645 0.921106 26 1441 479 209.845 19237.8 34118
6026.25 -0.88676 0.043915 0.102341 0.605657 0.34828 0.430582 0.571384 8455.54 0 6528.7 1368.95 1.853 43654 0.732892 0.902791 37 1389 643 230.414 19899.3 34860
6047.78 -0.043915 -0.88676 0.102341 0.181993 0.674535 0.708497 0.0995617 5701.97 0 5697.91 4.05806 2.73057 18694 0.525808 0.924377 36 714 1194 295.259 20689.7 35555
6067.68 0.88676 -0.043915 0.102341 -0.34828 0.605657 0.571384 -0.430582 5673.2 0 5673.2 0 1.853 26026 0.5677 0.88661 24 858 605 214.328 21157.7 35759
