cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds
2062.25 1.33696 0.821418 0.102341 0.63405 -0.293427 -0.217925 0.681461 1651.7 1150.21 331.928 542.037 3.23482 269 0.998519 0.6 1 269 0 0.7 8039.72 13254
2088.59 0.65744 0.8191 0.102341 0.698076 -0.0284509 0.059447 0.712984 502.235 0.746549 143.389 226.718 0.98476 133 0.735281 1 0 0 1 0.5 11626.4 19505
2099.95 1.8191 0.34256 0.102341 0.473496 -0.513732 -0.462121 0.546191 501.489 501.489 83.5815 186.894 1.853 369 0.988731 1 0 0 0 0.5 12482.7 20667
2118.3 1.82142 -0.336964 0.102341 -0.240857 0.655826 0.635962 -0.327769 607.343 607.343 121.469 242.937 0.98476 408 0.842567 1 1 20 1 0.5 15276 25652
2132.22 0.1809 -0.34256 0.102341 0.513732 0.473496 0.546191 0.462121 0 0 0 0 2.94472 0 0 0 0 0 0 0 16057.9 27075
2155.03 0.663036 -0.821418 0.102341 0.293427 0.63405 0.681461 0.217925 0 0 0 0 2.30112 0 0 0 0 0 0 0 19943.4 34192
2166.65 1.34256 -0.8191 0.102341 0.0284509 0.698076 0.712984 -0.059447 0 0 0 0 0.98476 0 0 0 0 0 0 0 21071.6 35921
2176.18 0.178582 0.336964 0.102341 0.655826 0.240857 0.327769 0.635962 0 0 0 0 2.94472 0 0 0 0 0 0 0 22077.9 37325
