
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43291e+09 0.176703 -0.251889 0.201752 0.454469 0.530524 0.491036 0.520466 0.0949663 0 0 0 0.0637289 29213.2 227.058 0 0 9 227.058 6353.61 10848 79263 51163.4 109468 0 0.254916 3
1.43291e+09 0.595954 -0.760271 0.201752 0.216852 0.664058 0.652832 0.292937 0.054265 0 0 0 1.04849 12596.2 68.8053 0 0 89 68.1798 6353.61 10848 79263 51163.4 109468 0.98476 0.254916 7
1.43291e+09 0.402495 -0.583934 0.44202 -0.311156 0.635157 0.275424 0.651075 0.0615031 0 0 0 0.98476 19929.6 123.85 0 0 44 121.973 6353.61 10848 79263 51163.4 109468 0.98476 0 4
1.43291e+09 1.25189 -0.823297 0.201752 -0.0537785 0.696495 0.71524 0.0208103 0.079922 0 0 0 1.91673 24031.5 89.4469 0 0 148 88.1959 6353.61 10848 79263 51163.4 109468 1.853 0.254916 7
1.43291e+09 0.990404 -0.835403 0.44202 0.530535 -0.467735 -0.503614 -0.496115 0.0538607 0 0 0 1.853 14660.3 66.9288 0 0 97 66.3033 6353.61 10848 79263 51163.4 109468 1.853 0 4
1.43291e+09 1.76027 -0.404046 0.201752 -0.316222 0.622898 0.66876 -0.254484 0.0664638 0 0 0 2.56967 21503.8 76.3114 0 0 129 75.6859 6353.61 10848 79263 51163.4 109468 2.50594 0.254916 7
1.43291e+09 1.58393 -0.597505 0.44202 0.669145 -0.229104 -0.655134 -0.265625 0.0588238 0 0 0 2.50594 19529.1 69.4308 0 0 114 68.8053 6353.61 10848 79263 51163.4 109468 2.50594 0 4
1.43291e+09 1.8233 0.251889 0.201752 0.530524 -0.454469 -0.520466 0.491036 0.051918 0 0 0 2.9413 15888.6 66.3033 0 0 101 66.3033 6353.61 10848 79263 51163.4 109468 2.87757 0.254916 7
1.43291e+09 1.8354 -0.00959605 0.44202 -0.705883 -0.0444064 0.706915 -0.00530295 0.0534051 0 0 0 2.87757 15414 66.3033 0 0 105 66.3033 6353.61 10848 79263 51163.4 109468 2.87757 0 4
1.43291e+09 1.40405 0.760271 0.201752 0.664058 -0.216852 -0.292937 0.652832 0.0483135 0 0 0 3.00845 15821.4 63.8013 0 0 95 62.5503 6353.61 10848 79263 51163.4 109468 2.94472 0.254916 7
1.43291e+09 1.5975 0.583934 0.44202 -0.635157 -0.311156 0.651075 -0.275424 0.029879 0 0 0 2.94472 10965 40.0322 0 0 67 40.0322 6353.61 10848 79263 51163.4 109468 2.94472 0 4
1.43291e+09 0.748111 0.823297 0.201752 0.696495 0.0537785 -0.0208103 0.71524 0.0688671 0 0 0 2.7943 16682.4 110.089 0 0 100 108.212 6353.61 10848 79263 51163.4 109468 2.73057 0.254916 7
1.43291e+09 1.0096 0.835403 0.44202 0.467735 0.530535 -0.496115 0.503614 -0.00401061 0 0 0 2.73057 950.923 5.62953 0 0 6 5.62953 6353.61 10848 79263 51163.4 109468 2.73057 0 4
1.43291e+09 0.239729 0.404046 0.201752 0.622898 0.316222 0.254484 0.66876 0.107931 0 0 0 2.36485 31606.8 257.082 0 0 34 255.831 6353.61 10848 79263 51163.4 109468 2.30112 0.254916 7
1.43291e+09 0.416066 0.597505 0.44202 0.229104 0.669145 -0.265625 0.655134 0.0738926 0 0 0 2.30112 20286.6 162.631 0 0 45 162.631 6353.61 10848 79263 51163.4 109468 2.30112 0 4
