
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes
2161.67 -0.805546 -0.251887 0.201752 0.45447 0.530523 0.491036 0.520467 0.0182459 0 0 0 0 61228.7 448.549 86 4.06721e-06 6 1.29944e-47 10087.2 17342 786626 449746 983112
2161.67 -0.391496 -0.747718 0.201752 0.216853 0.664058 0.652832 0.292938 0.082013 0 0 0 0.645977 47203.1 392.862 314 178.911 70 3.16089e-59 10087.2 17342 786626 449746 983112
2161.67 -0.584954 -0.57138 0.44202 -0.311155 0.635158 0.275423 0.651075 0.0763881 0 0 0 0.45658 53435.9 405.376 253 210.195 17 1.02147e-94 10087.2 17342 786626 449746 983112
2161.67 0.25189 -0.805546 0.201752 -0.0537778 0.696495 0.71524 0.0208111 0.0585556 0 0 0 1.19361 38594.7 319.041 254 90.0766 184 2.23473e-72 10087.2 17342 786626 449746 983112
2161.67 -0.009598 -0.817652 0.44202 0.530534 -0.467735 -0.503614 -0.496115 0.0592452 0 0 0 1.00566 35176.3 291.521 220 137.628 122 2.50232 10087.2 17342 786626 449746 983112
2161.68 0.74772 -0.391496 0.201752 -0.316221 0.622898 0.66876 -0.254484 0.0693728 0 0 0 1.55953 62211.7 434.153 347 31.279 343 1.37383e-53 10087.2 17342 786626 449746 983112
2161.68 0.57138 -0.584954 0.44202 0.669144 -0.229104 -0.655133 -0.265626 0.0605586 0 0 0 1.43687 55988.8 365.062 291 55.3014 249 6.1475e-86 10087.2 17342 786626 449746 983112
2161.68 0.80555 0.251887 0.201752 0.530523 -0.45447 -0.520467 0.491036 0.0723589 0 0 0 1.68802 59741.1 469.185 373 26.2743 346 6.68157e-49 10087.2 17342 786626 449746 983112
2161.68 0.81765 -0.00959786 0.44202 -0.705883 -0.0444056 0.706915 -0.00530219 0.038007 0 0 0 1.65867 61546 441.66 87 18.7674 342 327.804 10087.2 17342 786626 449746 983112
2161.68 0.3915 0.747718 0.201752 0.664058 -0.216853 -0.292938 0.652832 0.0849354 0 0 0 1.55953 60360.6 466.683 363 126.367 278 2.71757e-47 10087.2 17342 786626 449746 983112
2161.68 0.58495 0.57138 0.44202 -0.635158 -0.311155 0.651075 -0.275423 0.0698006 0 0 0 1.6337 65933.4 442.693 357 30.383 326 2.49145e-17 10087.2 17342 786626 449746 983112
2161.68 -0.251887 0.805546 0.201752 0.696495 0.0537778 -0.0208111 0.71524 0.0826578 0 0 0 1.19361 48350.5 452.92 223 294.023 53 7.50697 10087.2 17342 786626 449746 983112
2161.68 0.0096 0.817652 0.44202 0.467735 0.530534 -0.496115 0.503614 0.0610116 0 0 0 1.36605 37996.2 339.065 243 125.116 171 1.07384e-31 10087.2 17342 786626 449746 983112
2161.68 -0.57138 0.584954 0.44202 0.229104 0.669144 -0.265626 0.655133 0.0668494 0 0 0 0.90159 53125.7 459.176 164 251.483 26 2.50232 10087.2 17342 786626 449746 983112
