
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
2059.57 0.784615 0.391029 0.103551 0.399744 -0.426945 -0.514679 0.626919 -0.709188 0 0 0 0.709188 16522 0.638023 0.699419 156 8806 332 115.752 9466.58 16803 976854 0.438786 1.08161 8
2059.57 0.796541 0.392165 0.102341 0.489039 -0.498959 -0.445141 0.560116 -0.707688 0 0 0 0.707688 32552 0.753106 0.816376 176 11457 676 162.748 9466.58 16803 976854 0.438786 1.07561 7
2059.57 0.85735 -0.282023 0.177665 0.612024 0.523389 -0.526038 -0.27345 -0.440286 0 0 0 0.440286 12026 0.966078 0.927273 23 2131 41 29.5 9466.58 16803 976854 0.438786 0.006 5
2059.57 0.869214 -0.280303 0.178803 -0.564268 -0.438954 0.598258 0.36195 -0.438786 0 0 0 0.438786 23256 0.924677 0.913514 39 2821 121 60.3 9466.58 16803 976854 0.438786 0 4
2059.57 0.811895 0.138595 0.441952 0.692193 0.170782 -0.688676 0.132017 -0.645801 0 0 0 0.645801 22362 0.786744 0.775704 114 3276 390 93.6586 9466.58 16803 976854 0.438786 0.828059 8
2059.57 0.823674 0.141092 0.442019 -0.704188 -0.0660472 0.706419 -0.0269939 -0.644301 0 0 0 0.644301 28068 0.755821 0.802079 130 4183 462 125.183 9466.58 16803 976854 0.438786 0.822059 7
2059.57 0.278308 0.831305 0.103551 0.5327 -0.241471 -0.23559 0.776157 -0.928582 0 0 0 0.928582 70519 0.998684 0.689682 267 69452 3 169.686 9466.58 16803 976854 0.658179 1.08161 8
2059.57 0.285937 0.840543 0.102341 0.642757 -0.273831 -0.19691 0.687828 -0.927082 0 0 0 0.927082 84502 0.98448 0.804138 291 71220 48 197.317 9466.58 16803 976854 0.658179 1.07561 7
2059.57 0.805659 0.406817 0.177665 0.365144 0.71776 -0.590641 -0.0513285 -0.659679 0 0 0 0.659679 7442 0.871634 0.866667 29 2111 141 20.4 9466.58 16803 976854 0.658179 0.006 5
2059.57 0.812831 0.416423 0.178803 -0.353336 -0.621477 0.691231 0.105455 -0.658179 0 0 0 0.658179 16167 0.713546 0.852351 120 5626 409 75.7448 9466.58 16803 976854 0.658179 0 4
2059.57 0.476095 0.672098 0.441952 -0.574148 -0.422672 0.585733 -0.385512 -0.865194 0 0 0 0.865194 40041 0.830012 0.788842 248 24444 656 148.972 9466.58 16803 976854 0.658179 0.828059 8
2059.57 0.482658 0.682193 0.442019 -0.62531 -0.330501 0.642316 -0.295274 -0.863694 0 0 0 0.863694 56525 0.846345 0.748501 315 31386 773 200.866 9466.58 16803 976854 0.658179 0.822059 7
2059.57 -0.391029 0.784615 0.103551 0.584558 -0.0192341 0.0793654 0.807232 -1.14797 0 0 0 1.14797 30787 0.746418 0.697647 245 17751 474 139.352 9466.58 16803 976854 0.877572 1.08161 8
2059.57 -0.392165 0.796541 0.102341 0.69862 -0.00701452 0.0812994 0.710824 -1.14647 0 0 0 1.14647 54754 0.828258 0.872518 276 23964 675 260.448 9466.58 16803 976854 0.877572 1.07561 7
2059.57 0.282023 0.85735 0.177665 0.062674 0.802858 -0.565323 0.178607 -0.879072 0 0 0 0.879072 16105 0.960564 0.907407 30 4510 71 59 9466.58 16803 976854 0.877572 0.006 5
2059.57 0.280303 0.869214 0.178803 0.0886107 0.709385 -0.67897 0.167095 -0.877572 0 0 0 0.877572 46506 0.989395 0.864078 166 38834 57 117 9466.58 16803 976854 0.877572 0 4
2059.57 -0.138595 0.811895 0.441952 0.368694 0.610215 -0.393617 0.580317 -1.08459 0 0 0 1.08459 50921 0.970021 0.747691 234 42361 201 147.772 9466.58 16803 976854 0.877572 0.828059 8
2059.57 -0.141092 0.823674 0.442019 0.451234 0.544639 -0.480426 0.518602 -1.08309 0 0 0 1.08309 62734 0.931623 0.749808 316 48898 327 202.531 9466.58 16803 976854 0.877572 0.822059 7
2059.57 -0.831305 0.278308 0.103551 0.547421 0.205931 0.382238 0.715413 -1.36737 0 0 0 1.36737 4022 0.555677 0.802043 108 2717 277 64.6897 9466.58 16803 976854 1.09697 1.08161 8
2059.57 -0.840543 0.285937 0.102341 0.648125 0.26087 0.347131 0.625604 -1.36587 0 0 0 1.36587 14157 0.66238 0.833676 171 8374 666 109.634 9466.58 16803 976854 1.09697 1.07561 7
2059.57 -0.406817 0.805659 0.177665 -0.249337 0.765728 -0.453941 0.381351 -1.09847 0 0 0 1.09847 8310 0.959234 0.92 13 1834 52 18.9 9466.58 16803 976854 1.09697 0.006 5
2059.57 -0.416423 0.812831 0.178803 -0.189604 0.689297 -0.563342 0.414206 -1.09697 0 0 0 1.09697 22846 0.828161 0.84554 105 11365 206 69.8448 9466.58 16803 976854 1.09697 0 4
2059.57 -0.672098 0.476095 0.441952 0.107109 0.704858 -0.141577 0.686774 -1.30398 0 0 0 1.30398 11393 0.635561 0.825011 125 6170 342 88.1241 9466.58 16803 976854 1.09697 0.828059 8
2059.57 -0.682193 0.482658 0.442019 0.208461 0.67586 -0.245396 0.662977 -1.30248 0 0 0 1.30248 13219 0.581351 0.822414 196 9267 559 127.179 9466.58 16803 976854 1.09697 0.822059 7
2059.57 -0.784615 -0.391029 0.103551 0.426945 0.399744 0.626919 0.514679 -0.709188 0 0 0 0.709188 17374 0.718616 0.900463 17 151 418 73.669 9466.58 16803 976854 0.438786 1.08161 8
2059.57 -0.796541 -0.392165 0.102341 0.498959 0.489039 0.560116 0.445141 -0.707688 0 0 0 0.707688 36956 0.828501 0.928012 37 1653 623 134.534 9466.58 16803 976854 0.438786 1.07561 7
2059.57 -0.85735 0.282023 0.177665 -0.523389 0.612024 -0.27345 0.526038 -0.440286 0 0 0 0.440286 5460 0.604893 0.932787 56 405 1100 260.4 9466.58 16803 976854 0.438786 0.006 5
2059.57 -0.869214 0.280303 0.178803 -0.438954 0.564268 -0.36195 0.598258 -0.438786 0 0 0 0.438786 3924 0.589108 0.938776 34 1555 315 82.2448 9466.58 16803 976854 0.438786 0 4
2059.57 -0.811895 -0.138595 0.441952 -0.170782 0.692193 0.132017 0.688676 -0.645801 0 0 0 0.645801 15192 0.697717 0.883922 29 552 422 92.6345 9466.58 16803 976854 0.438786 0.828059 8
2059.57 -0.823674 -0.141092 0.442019 -0.0660472 0.704188 0.0269939 0.706419 -0.644301 0 0 0 0.644301 15730 0.687934 0.909307 37 754 434 101.434 9466.58 16803 976854 0.438786 0.822059 7
2059.57 -0.278308 -0.831305 0.103551 0.241471 0.5327 0.776157 0.23559 -0.489795 0 0 0 0.489795 13357 0.638819 0.896264 0 0 564 105.959 9466.58 16803 976854 0.219393 1.08161 8
2059.57 -0.285937 -0.840543 0.102341 0.273831 0.642757 0.687828 0.19691 -0.488295 0 0 0 0.488295 31446 0.728851 0.962829 6 7 1090 183.579 9466.58 16803 976854 0.219393 1.07561 7
2059.57 -0.805659 -0.406817 0.177665 -0.71776 0.365144 -0.0513285 0.590641 -0.220893 0 0 0 0.220893 30331 0.870044 0.944231 24 1327 630 109.8 9466.58 16803 976854 0.219393 0.006 5
2059.57 -0.812831 -0.416423 0.178803 -0.621477 0.353336 -0.105455 0.691231 -0.219393 0 0 0 0.219393 25698 0.82698 0.932164 28 1212 551 91.3 9466.58 16803 976854 0.219393 0 4
2059.57 -0.476095 -0.672098 0.441952 -0.422672 0.574148 0.385512 0.585733 -0.426408 0 0 0 0.426408 27210 0.669213 0.919915 2 2 888 175.514 9466.58 16803 976854 0.219393 0.828059 8
2059.57 -0.482658 -0.682193 0.442019 -0.330501 0.62531 0.295274 0.642316 -0.424908 0 0 0 0.424908 27064 0.670755 0.908557 0 0 836 176.814 9466.58 16803 976854 0.219393 0.822059 7
2059.57 0.391029 -0.784615 0.103551 0.0192341 0.584558 0.807232 -0.0793654 -0.270402 0 0 0 0.270402 27870 0.822181 0.901804 0 0 48 82.9138 9466.58 16803 976854 0 1.08161 4
2059.57 0.392165 -0.796541 0.102341 0.00701452 0.69862 0.710824 -0.0812994 -0.268902 0 0 0 0.268902 46971 0.877573 0.940172 8 911 91 127.179 9466.58 16803 976854 0 1.07561 3
2059.57 -0.282023 -0.85735 0.177665 -0.802858 0.062674 0.178607 0.565323 -0.0015 0 0 0 0.0015 25453 0.85679 0.968539 3 5 721 91.8 9466.58 16803 976854 0 0.006 1
