
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes
2391.91 -0.805546 -0.251887 0.201752 0.45447 0.530523 0.491036 0.520467 0.0205047 0 0 0 0 56812.7 471.238 106 5.55604e-06 24 9.17934e-77 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 -0.391496 -0.747718 0.201752 0.216853 0.664058 0.652832 0.292938 0.0927769 0 0 0 0.645977 60231 546.752 392 193.924 183 1.88964e-88 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 -0.584954 -0.57138 0.44202 -0.311155 0.635158 0.275423 0.651075 0.0706584 0 0 0 0.45658 58113.6 502.628 237 214.445 91 2.07573e-83 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 0.25189 -0.805546 0.201752 -0.0537778 0.696495 0.71524 0.0208111 0.0872546 0 0 0 1.19361 58168.5 531.727 422 123.852 319 5.31627e-65 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 -0.009598 -0.817652 0.44202 0.530534 -0.467735 -0.503614 -0.496115 0.0827804 0 0 0 1.00566 57492.3 477.944 368 157.646 247 1.25116 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 0.74772 -0.391496 0.201752 -0.316221 0.622898 0.66876 -0.254484 0.107262 0 0 0 1.55953 74865.9 649.862 509 165.431 399 1.03682e-92 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 0.57138 -0.584954 0.44202 0.669144 -0.229104 -0.655133 -0.265626 0.0792796 0 0 0 1.43687 67042.2 536.301 418 83.5802 332 1.53334e-114 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 0.80555 0.251887 0.201752 0.530523 -0.45447 -0.520467 0.491036 0.109687 0 0 0 1.68802 69483.5 653.106 441 300.278 226 2.39112e-79 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 0.81765 -0.00959786 0.44202 -0.705883 -0.0444056 0.706915 -0.00530219 0.0879419 0 0 0 1.65867 65310.4 541.753 414 166.404 299 1.45004e-34 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 0.58495 0.57138 0.44202 -0.635158 -0.311155 0.651075 -0.275423 0.0889147 0 0 0 1.6337 63126.4 529.881 427 190.789 173 3.13076e-27 18315.5 31410 1.52901e+06 805757 1.85905e+06
2391.91 -0.57138 0.584954 0.44202 0.229104 0.669144 -0.265626 0.655133 0.0729404 0 0 0 0.90159 71340.8 650.604 152 347.823 23 2.50232 18315.5 31410 1.52901e+06 805757 1.85905e+06
