cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 4 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds
14120.9 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0.603314 0 0 0 0 375 0.603314 0.952972 3 171 153 153.39 14159.3 25718
14120.9 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0.67869 0 0 0 0 20818 0.67869 0.924846 53 4746 1255 240.834 14159.3 25718
14120.9 0.414215 -0.813958 0.178803 -0.689553 -0.188669 0.413441 0.563903 0.666894 0 0 0 0 16216 0.666894 0.94386 49 4079 1152 150.5 14159.3 25718
14120.9 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 0.917576 0 0 0 0 56156 0.917576 0.916909 55 13431 145 134.845 14159.3 25718
14120.9 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0.906703 0 0 0 0 99203 0.906703 0.93617 64 14975 253 245.745 14159.3 25718
14120.9 0.785673 0.388897 0.103551 0.399164 -0.427487 -0.51553 0.62622 0.631088 0 0 0 0 29414 0.631088 0.903991 128 5719 1499 208.79 14159.3 25718
14120.9 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0.673655 0 0 0 0 41061 0.673655 0.875013 176 9726 1640 264.934 14159.3 25718
14120.9 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0.84936 0 0 0 0 12701 0.84936 0.986047 8 382 243 43.6 14159.3 25718
14120.9 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0.780293 0 0 0 0 25044 0.780293 0.92013 13 597 459 126.345 14159.3 25718
14120.9 0.812268 0.136391 0.441952 0.692424 0.169842 -0.688854 0.131082 0.817743 0 0 0 0 29764 0.817743 0.922268 12 515 420 121.245 14159.3 25718
14120.9 0.824054 0.138856 0.442019 -0.704277 -0.0650913 0.706455 -0.026035 0.830207 0 0 0 0 59765 0.830207 0.934059 54 4181 1003 260.09 14159.3 25718
14120.9 0.280563 0.830547 0.103551 0.532372 -0.242193 -0.236644 0.775836 0.552307 0 0 0 0 10212 0.552307 0.850833 166 4422 728 117.79 14159.3 25718
14120.9 0.288218 0.839763 0.102341 0.642384 -0.274703 -0.197843 0.68756 0.680771 0 0 0 0 29328 0.680771 0.897727 173 7214 1165 194 14159.3 25718
14120.9 0.80676 0.404629 0.177665 0.366118 0.717264 -0.59057 -0.0521301 0.811856 0 0 0 0 22297 0.811856 0.909774 54 546 955 145 14159.3 25718
14120.9 0.813958 0.414215 0.178803 -0.354179 -0.620997 0.691087 0.106393 0.666065 0 0 0 0 17564 0.666065 0.92921 13 515 567 101.19 14159.3 25718
14120.9 0.477918 0.670803 0.441952 -0.574721 -0.421893 0.586255 -0.384717 0.686338 0 0 0 0 16361 0.686338 0.930502 88 3955 682 138.5 14159.3 25718
14120.9 0.484508 0.68088 0.442019 -0.625758 -0.329652 0.642717 -0.294402 0.695257 0 0 0 0 32524 0.695257 0.897686 235 10435 1234 254.634 14159.3 25718
14120.9 -0.388897 0.785673 0.103551 0.584531 -0.0200275 0.0782696 0.807339 0.628249 0 0 0 0 14898 0.628249 0.984 3 195 598 127 14159.3 25718
14120.9 -0.390001 0.797603 0.102341 0.69861 -0.00796278 0.0803345 0.710934 0.709963 0 0 0 0 32723 0.709963 0.971976 37 1654 849 210.745 14159.3 25718
14120.9 0.28435 0.856581 0.177665 0.0637637 0.802772 -0.565565 0.17784 0.625313 0 0 0 0 4910 0.625313 0.891379 30 1015 220 44.3448 14159.3 25718
14120.9 0.282661 0.868449 0.178803 0.0895735 0.709265 -0.679196 0.166173 0.522314 0 0 0 0 8984 0.522314 0.879563 124 4705 399 114.845 14159.3 25718
14120.9 -0.136391 0.812268 0.441952 0.369521 0.609714 -0.394404 0.579782 0.839421 0 0 0 0 46732 0.839421 0.867725 205 9405 1193 214 14159.3 25718
14120.9 -0.138856 0.824054 0.442019 0.451972 0.544026 -0.48113 0.517949 0.835089 0 0 0 0 54554 0.835089 0.885576 200 9852 1396 246.845 14159.3 25718
14120.9 -0.830547 0.280563 0.103551 0.5477 0.205187 0.381267 0.715932 0.683739 0 0 0 0 15120 0.683739 0.971585 9 292 443 94.1 14159.3 25718
14120.9 -0.839763 0.288218 0.102341 0.648479 0.25999 0.346282 0.626075 0.749248 0 0 0 0 37233 0.749248 0.964265 37 4719 511 179.7 14159.3 25718
14120.9 -0.404629 0.80676 0.177665 -0.248298 0.766066 -0.454458 0.380735 0.768327 0 0 0 0 14228 0.768327 0.953425 23 524 388 76.4 14159.3 25718
14120.9 -0.414215 0.813958 0.178803 -0.188669 0.689553 -0.563903 0.413441 0.684793 0 0 0 0 34587 0.684793 0.92 113 4771 942 202.5 14159.3 25718
14120.9 -0.68088 0.484508 0.442019 0.209379 0.675576 -0.246296 0.662643 0.619225 0 0 0 0 8827 0.619225 0.9634 37 3406 1571 236.345 14159.3 25718
14120.9 -0.785673 -0.388897 0.103551 0.427487 0.399164 0.62622 0.51553 0.656548 0 0 0 0 15427 0.656548 0.926437 77 4779 423 93.4 14159.3 25718
14120.9 -0.797603 -0.390001 0.102341 0.499622 0.488361 0.559511 0.445901 0.753968 0 0 0 0 38515 0.753968 0.933059 115 9158 511 174.445 14159.3 25718
14120.9 -0.868449 0.282661 0.178803 -0.438188 0.564864 -0.362762 0.597766 0.711221 0 0 0 0 28776 0.711221 0.964034 12 658 1521 192.69 14159.3 25718
14120.9 -0.812268 -0.136391 0.441952 -0.169842 0.692424 0.131082 0.688854 0.883495 0 0 0 0 74750 0.883495 0.941259 123 7726 697 227.1 14159.3 25718
14120.9 -0.824054 -0.138856 0.442019 -0.0650913 0.704277 0.026035 0.706455 0.889261 0 0 0 0 71596 0.889261 0.93382 128 7862 577 219.1 14159.3 25718
14120.9 -0.280563 -0.830547 0.103551 0.242193 0.532372 0.775837 0.236644 0.812157 0 0 0 0 23573 0.812157 0.892308 88 5783 375 86.4 14159.3 25718
14120.9 -0.288218 -0.839763 0.102341 0.274703 0.642384 0.68756 0.197843 0.846635 0 0 0 0 44922 0.846635 0.92381 103 7583 677 158.2 14159.3 25718
14120.9 -0.80676 -0.404629 0.177665 -0.717264 0.366118 -0.0521301 0.59057 0.652337 0 0 0 0 6563 0.652337 0.97 14 23 326 61.8 14159.3 25718
14120.9 -0.813958 -0.414215 0.178803 -0.620997 0.354179 -0.106393 0.691087 0.578435 0 0 0 0 11464 0.578435 0.967764 22 933 581 182.19 14159.3 25718
14120.9 -0.477918 -0.670803 0.441952 -0.421893 0.574721 0.384717 0.586255 0.869152 0 0 0 0 68591 0.869152 0.935484 132 8142 415 181.5 14159.3 25718
14120.9 -0.484508 -0.68088 0.442019 -0.329652 0.625758 0.294402 0.642717 0.890317 0 0 0 0 78172 0.890317 0.919346 147 9137 482 198.3 14159.3 25718
14120.9 0.388897 -0.785673 0.103551 0.0200275 0.584531 0.807339 -0.0782696 0.810834 0 0 0 0 35698 0.810834 0.930435 77 10565 1101 123 14159.3 25718
14120.9 0.390001 -0.797603 0.102341 0.00796278 0.69861 0.710934 -0.0803345 0.799328 0 0 0 0 52909 0.799328 0.934236 85 10242 1527 208.89 14159.3 25718
