cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 2 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2120.91 -0.263476 0.687584 0.442019 0.399987 0.583312 -0.431421 0.56003 160253 0 0 0 0.402636 53104 0.886124 0.820321 263 31494 836 220.6 9022.5 16005 0.219393 0.732972 8
2120.91 -0.782253 0.0719681 0.103551 0.526493 0.254722 0.445537 0.677805 8562.38 0 0 0 0.438786 3906 0.600126 0.805556 56 1493 371 43 9022.5 16005 0.438786 0 4
2120.91 -0.792716 0.0778039 0.102341 0.6218 0.318567 0.402431 0.591549 9044.18 0 0 0 0.440286 3582 0.599283 0.836364 63 1587 337 38.4 9022.5 16005 0.438786 0.006 5
2120.91 -0.459991 0.667314 0.177665 -0.317746 0.739964 -0.41749 0.420943 8188.87 0 0 0 0.809688 9561 0.865433 0.92 15 1489 154 54 9022.5 16005 0.438786 1.48361 7
2120.91 -0.470734 0.672633 0.178803 -0.251328 0.669264 -0.523461 0.463583 16061.6 0 0 0 0.811188 16515 0.712826 0.935196 44 2962 468 95.3 9022.5 16005 0.438786 1.48961 8
2120.91 -0.661386 0.295257 0.441952 0.042752 0.711667 -0.0787178 0.696783 36539.1 0 0 0 0.620529 13776 0.698505 0.80786 160 6883 783 136.5 9022.5 16005 0.438786 0.726972 7
2120.91 -0.672501 0.29989 0.442019 0.146316 0.691979 -0.184267 0.682497 20705.5 0 0 0 0.622029 7546 0.665839 0.84878 114 3808 576 94.4 9022.5 16005 0.438786 0.732972 8
2120.91 -0.604025 -0.502247 0.103551 0.388938 0.436812 0.671007 0.455711 2123.43 0 0 0 1.09697 22841 0.881084 0.960902 12 250 263 69.1 9022.5 16005 1.09697 0 4
2120.91 -0.61555 -0.505519 0.102341 0.452558 0.53227 0.598173 0.392516 8251.45 0 0 0 1.09847 23276 0.909245 0.954472 16 1483 214 64.3 9022.5 16005 1.09697 0.006 5
2120.91 -0.797125 0.1466 0.177665 -0.576731 0.562042 -0.224622 0.548667 4773.03 0 0 0 1.46787 3797 0.571402 0.952311 31 683 511 215.3 9022.5 16005 1.09697 1.48361 7
2120.91 -0.808483 0.142764 0.178803 -0.488313 0.52214 -0.306209 0.628615 20168 0 0 0 1.46937 5294 0.560875 0.830137 86 3806 207 85.4 9022.5 16005 1.09697 1.48961 8
2120.91 -0.676449 -0.258892 0.441952 -0.232845 0.673855 0.193921 0.673867 48993.6 0 0 0 1.27871 33516 0.752075 0.85896 171 9255 1236 197.4 9022.5 16005 1.09697 0.726972 7
2120.91 -0.687584 -0.263476 0.442019 -0.12963 0.695298 0.0909401 0.701061 36065 0 0 0 1.28021 29194 0.758118 0.868421 109 6763 1098 172 9022.5 16005 1.09697 0.732972 8
2120.91 -0.0719681 -0.782253 0.103551 0.192171 0.552402 0.794322 0.164238 13700.5 0 0 0 0.877572 28659 0.882443 0.938624 19 2578 145 100.3 9022.5 16005 0.877572 0 4
2120.91 -0.0778039 -0.792716 0.102341 0.214418 0.664939 0.70285 0.133727 22337.3 0 0 0 0.879072 28423 0.916221 0.934503 28 4304 118 91.1 9022.5 16005 0.877572 0.006 5
2120.91 -0.667314 -0.459991 0.177665 -0.747914 0.298554 0.00244171 0.592862 12839.9 0 0 0 1.24847 13615 0.778977 0.950365 17 2346 477 71.9 9022.5 16005 0.877572 1.48361 7
2120.91 -0.672633 -0.470734 0.178803 -0.650957 0.295525 -0.0423402 0.697945 52428 0 0 0 1.24997 33401 0.798563 0.855794 133 9984 1281 133.3 9022.5 16005 0.877572 1.48961 8
2120.91 -0.295257 -0.661386 0.441952 -0.472994 0.533455 0.437038 0.548362 20419.1 0 0 0 1.05932 18364 0.679305 0.916962 50 3666 1166 213.9 9022.5 16005 0.877572 0.726972 7
2120.91 -0.29989 -0.672501 0.442019 -0.385842 0.592764 0.352302 0.612895 16083.4 0 0 0 1.06082 19147 0.691033 0.929659 39 2823 1104 203.9 9022.5 16005 0.877572 0.732972 8
