
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes
3316 -0.805546 -0.251887 0.201752 0.45447 0.530523 0.491036 0.520467 0.0907421 0 0 0 0 72018 528.834 174 6.50873e-06 21 1.44416e-85 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 -0.817652 0.00959786 0.44202 -0.0444056 0.705883 0.00530219 0.706915 0.0689056 0 0 0 0.355316 54687.3 564.34 456 435.794 47 2.6951e-55 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 -0.391496 -0.747718 0.201752 0.216853 0.664058 0.652832 0.292938 0.087715 0 0 0 0.645977 69615.5 661.859 529 506.707 27 7.22955e-94 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 0.25189 -0.805546 0.201752 -0.0537778 0.696495 0.71524 0.0208111 0.076787 0 0 0 1.19361 60942.4 620.504 465 418.948 121 3.93526e-92 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 -0.009598 -0.817652 0.44202 0.530534 -0.467735 -0.503614 -0.496115 0.0532918 0 0 0 1.00566 42295.4 491.756 263 355.943 74 8.94935e-118 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 0.74772 -0.391496 0.201752 -0.316221 0.622898 0.66876 -0.254484 0.0997693 0 0 0 1.55953 79182.4 643.097 489 356.581 175 1.73273e-79 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 0.57138 -0.584954 0.44202 0.669144 -0.229104 -0.655133 -0.265626 0.101072 0 0 0 1.43687 80216.3 589.297 405 212.697 141 9.25518e-46 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 0.80555 0.251887 0.201752 0.530523 -0.45447 -0.520467 0.491036 0.0871904 0 0 0 1.68802 69199.1 733.18 450 505.468 151 1.9707e-22 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 0.81765 -0.00959786 0.44202 -0.705883 -0.0444056 0.706915 -0.00530219 0.0731929 0 0 0 1.65867 58090 546.534 403 347.132 144 8.38005e-61 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 0.3915 0.747718 0.201752 0.664058 -0.216853 -0.292938 0.652832 0.0988848 0 0 0 1.55953 78480.4 735.683 453 525.488 77 2.08418e-35 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 -0.251887 0.805546 0.201752 0.696495 0.0537778 -0.0208111 0.71524 0.0858169 0 0 0 1.19361 68109.1 706.547 546 535.805 54 3.02631e-65 23003.5 41102 1.68247e+06 897247 2.04791e+06
3316 0.0096 0.817652 0.44202 0.467735 0.530534 -0.496115 0.503614 0.0766321 0 0 0 1.36605 60819.5 694.446 383 547.508 83 7.46321e-48 23003.5 41102 1.68247e+06 897247 2.04791e+06
