
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes
3603.21 0.194454 -0.251887 0.201752 0.45447 0.530523 0.491036 0.520467 0.0489041 0 0 0 0 14120.2 74.1764 61 9.83939e-06 25 8.43989e-73 3297.02 5833 794912 425155 970793
3603.21 0.182348 0.00959786 0.44202 -0.0444056 0.705883 0.00530219 0.706915 0.0675871 0 0 0 0.355316 9548.42 65.0604 52 45.0418 7 2.20918e-145 3297.02 5833 794912 425155 970793
3603.21 0.608504 -0.747718 0.201752 0.216853 0.664058 0.652832 0.292938 0.0789028 0 0 0 0.645977 11856.4 81.3244 65 47.5413 19 1.22641e-93 3297.02 5833 794912 425155 970793
3603.21 0.415046 -0.57138 0.44202 -0.311155 0.635158 0.275423 0.651075 0.0668341 0 0 0 0.45658 12509.6 75.0697 60 33.7814 17 1.13369e-184 3297.02 5833 794912 425155 970793
3603.21 1.25189 -0.805546 0.201752 -0.0537778 0.696495 0.71524 0.0208111 0.0690736 0 0 0 1.19361 10117.6 82.5713 66 32.5241 39 3.69431e-52 3297.02 5833 794912 425155 970793
3603.21 0.990402 -0.817652 0.44202 0.530534 -0.467735 -0.503614 -0.496115 0.0449988 0 0 0 1.00566 7847.58 57.5534 46 20.0186 26 7.81124e-161 3297.02 5833 794912 425155 970793
3603.21 1.74772 -0.391496 0.201752 -0.316221 0.622898 0.66876 -0.254484 0.0963154 0 0 0 1.55953 15842.2 106.349 85 56.3023 36 2.40817e-94 3297.02 5833 794912 425155 970793
3603.21 1.57138 -0.584954 0.44202 0.669144 -0.229104 -0.655133 -0.265626 0.0570531 0 0 0 1.43687 11630.8 71.3162 57 30.0279 26 2.92873e-193 3297.02 5833 794912 425155 970793
3603.21 1.81765 -0.00959786 0.44202 -0.705883 -0.0444056 0.706915 -0.00530219 0.0376972 0 0 0 1.65867 8045.7 56.3023 45 16.2651 28 8.9379e-176 3297.02 5833 794912 425155 970793
3603.21 1.3915 0.747718 0.201752 0.664058 -0.216853 -0.292938 0.652832 0.114308 0 0 0 1.55953 19331.3 130.121 104 60.0557 45 2.38244e-48 3297.02 5833 794912 425155 970793
3603.21 1.58495 0.57138 0.44202 -0.635158 -0.311155 0.651075 -0.275423 0.0412968 0 0 0 1.6337 9743.21 55.0511 44 25.0232 17 2.25959e-200 3297.02 5833 794912 425155 970793
3603.21 0.748113 0.805546 0.201752 0.696495 0.0537778 -0.0208111 0.71524 0.0962992 0 0 0 1.19361 13900 106.343 85 56.2932 22 1.67649e-68 3297.02 5833 794912 425155 970793
3603.21 1.0096 0.817652 0.44202 0.467735 0.530534 -0.496115 0.503614 0.041273 0 0 0 1.36605 7794.97 48.7953 39 30.0279 8 2.33824e-150 3297.02 5833 794912 425155 970793
3603.21 0.42862 0.584954 0.44202 0.229104 0.669144 -0.265626 0.655133 0.039457 0 0 0 0.90159 8782.86 48.7953 39 21.2697 14 6.75741e-154 3297.02 5833 794912 425155 970793
