
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43291e+09 0.176703 -0.251889 0.201752 0.454469 0.530524 0.491036 0.520466 0.0374736 0 0 0 0.0637289 39600.6 380.484 60 0.0101344 11 2.86912e-61 5888.77 10629 72381 49252.4 102644 0 0.254916 3
1.43291e+09 0.595954 -0.760271 0.201752 0.216852 0.664058 0.652832 0.292937 0.0459984 0 0 0 1.04849 16167.5 136.377 16 48.7953 74 73.8185 5888.77 10629 72381 49252.4 102644 0.98476 0.254916 7
1.43291e+09 0.402495 -0.583934 0.44202 -0.311156 0.635157 0.275424 0.651075 0.117963 0 0 0 0.98476 32484.9 301.53 71 161.4 52 27.5256 5888.77 10629 72381 49252.4 102644 0.98476 0 4
1.43291e+09 1.25189 -0.823297 0.201752 -0.0537785 0.696495 0.71524 0.0208103 0.0491063 0 0 0 1.91673 33202.2 183.921 22 20.0186 142 135.125 5888.77 10629 72381 49252.4 102644 1.853 0.254916 7
1.43291e+09 0.990404 -0.835403 0.44202 0.530535 -0.467735 -0.503614 -0.496115 0.04383 0 0 0 1.853 21085.2 140.13 21 41.2883 81 77.572 5888.77 10629 72381 49252.4 102644 1.853 0 4
1.43291e+09 1.76027 -0.404046 0.201752 -0.316222 0.622898 0.66876 -0.254484 0.0327225 0 0 0 2.56967 29213 152.642 7 12.5116 116 130.121 5888.77 10629 72381 49252.4 102644 2.50594 0.254916 7
1.43291e+09 1.58393 -0.597505 0.44202 0.669145 -0.229104 -0.655134 -0.265625 0.029402 0 0 0 2.50594 25536.4 131.372 9 12.5116 103 108.851 5888.77 10629 72381 49252.4 102644 2.50594 0 4
1.43291e+09 1.8233 0.251889 0.201752 0.530524 -0.454469 -0.520466 0.491036 0.0243368 0 0 0 2.9413 22887.1 136.377 2 5.00465 106 130.121 5888.77 10629 72381 49252.4 102644 2.87757 0.254916 7
1.43291e+09 1.8354 -0.00959605 0.44202 -0.705883 -0.0444064 0.706915 -0.00530295 0.0215531 0 0 0 2.87757 20515.8 125.116 1 6.25581 95 116.358 5888.77 10629 72381 49252.4 102644 2.87757 0 4
1.43291e+09 1.40405 0.760271 0.201752 0.664058 -0.216852 -0.292937 0.652832 0.025963 0 0 0 3.00845 23112.7 132.623 12 6.25581 98 110.102 5888.77 10629 72381 49252.4 102644 2.94472 0.254916 7
1.43291e+09 1.5975 0.583934 0.44202 -0.635157 -0.311156 0.651075 -0.275424 0.0176826 0 0 0 2.94472 20085.2 102.595 2 5.00465 88 96.3394 5888.77 10629 72381 49252.4 102644 2.94472 0 4
1.43291e+09 0.748111 0.823297 0.201752 0.696495 0.0537785 -0.0208103 0.71524 0.0831133 0 0 0 2.7943 21649.7 205.19 43 107.6 82 85.079 5888.77 10629 72381 49252.4 102644 2.73057 0.254916 7
1.43291e+09 1.0096 0.835403 0.44202 0.467735 0.530535 -0.496115 0.503614 -0.00599628 0 0 0 2.73057 1068.23 8.75813 0 1.25116 6 7.50697 5888.77 10629 72381 49252.4 102644 2.73057 0 4
1.43291e+09 0.239729 0.404046 0.201752 0.622898 0.316222 0.254484 0.66876 0.268297 0 0 0 2.36485 41561.9 494.209 223 355.33 20 10.0093 5888.77 10629 72381 49252.4 102644 2.30112 0.254916 7
1.43291e+09 0.416066 0.597505 0.44202 0.229104 0.669145 -0.265625 0.655134 0.108554 0 0 0 2.30112 20440.5 240.223 51 176.414 36 30.0279 5888.77 10629 72381 49252.4 102644 2.30112 0 4
