cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 10 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds
15094.9 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0.366194 0 0 0 0 325 0.366194 0.813619 3 198 66 176.771 24151.2 41582
15094.9 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0.544323 0 0 0 0 28079 0.544323 0.844672 85 3497 1649 308.473 24151.2 41582
15094.9 0.414215 -0.813958 0.178803 -0.689553 -0.188669 0.413441 0.563903 0.417747 0 0 0 0 6803 0.417747 0.861372 70 1653 690 233.988 24151.2 41582
15094.9 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0.479993 0 0 0 0 14268 0.479993 0.827084 58 3377 2508 290.297 24151.2 41582
15094.9 0.785673 0.388897 0.103551 0.399164 -0.427487 -0.51553 0.62622 0.440242 0 0 0 0 11360 0.440242 0.87108 14 168 1141 221.268 24151.2 41582
15094.9 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0.511306 0 0 0 0 25846 0.511306 0.865269 73 3768 1486 310.349 24151.2 41582
15094.9 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0.700394 0 0 0 0 17368 0.700394 0.913111 20 249 858 96.1897 24151.2 41582
15094.9 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0.588851 0 0 0 0 23279 0.588851 0.850133 26 666 866 187.428 24151.2 41582
15094.9 0.812268 0.136391 0.441952 0.692424 0.169842 -0.688854 0.131082 0.473209 0 0 0 0 5894 0.473209 0.807502 19 208 1089 165.161 24151.2 41582
15094.9 0.280563 0.830547 0.103551 0.532372 -0.242193 -0.236644 0.775836 0.440355 0 0 0 0 5690 0.440355 0.940402 22 561 672 179.602 24151.2 41582
15094.9 0.288218 0.839763 0.102341 0.642384 -0.274703 -0.197843 0.68756 0.596507 0 0 0 0 31139 0.596507 0.893327 57 2811 1495 287.182 24151.2 41582
15094.9 0.813958 0.414215 0.178803 -0.354179 -0.620997 0.691087 0.106393 0.478616 0 0 0 0 12246 0.478616 0.869094 26 534 1060 155.5 24151.2 41582
15094.9 0.477918 0.670803 0.441952 -0.574721 -0.421893 0.586255 -0.384717 0.543655 0 0 0 0 9595 0.543655 0.876068 18 452 416 171.962 24151.2 41582
15094.9 0.484508 0.68088 0.442019 -0.625758 -0.329652 0.642717 -0.294402 0.558909 0 0 0 0 20173 0.558909 0.896247 27 493 619 294.15 24151.2 41582
15094.9 -0.388897 0.785673 0.103551 0.584531 -0.0200275 0.0782696 0.807339 0.445294 0 0 0 0 10975 0.445294 0.886102 6 306 183 140.351 24151.2 41582
15094.9 -0.390001 0.797603 0.102341 0.69861 -0.00796278 0.0803345 0.710934 0.616085 0 0 0 0 41900 0.616085 0.864235 80 2827 1169 325.397 24151.2 41582
15094.9 0.28435 0.856581 0.177665 0.0637637 0.802772 -0.565565 0.17784 0.572922 0 0 0 0 7418 0.572922 0.928549 40 794 521 92.1448 24151.2 41582
15094.9 0.282661 0.868449 0.178803 0.0895735 0.709265 -0.679196 0.166173 0.466298 0 0 0 0 6949 0.466298 0.918265 45 1102 533 167.669 24151.2 41582
15094.9 -0.136391 0.812268 0.441952 0.369521 0.609714 -0.394404 0.579782 0.464881 0 0 0 0 3095 0.464881 0.920038 21 813 686 247.851 24151.2 41582
15094.9 -0.830547 0.280563 0.103551 0.5477 0.205187 0.381267 0.715932 0.340067 0 0 0 0 462 0.340067 0.879382 6 166 185 107.579 24151.2 41582
