
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes
3491.94 0.194454 -0.251887 0.201752 0.45447 0.530523 0.491036 0.520467 0.0182343 0 0 0 0 6256.07 31.4159 11 9.87404e-09 3 1.57703e-89 1279.3 2303 201857 124851 265231
3491.94 0.182348 0.00959786 0.44202 -0.0444056 0.705883 0.00530219 0.706915 0.0616496 0 0 0 0.355316 4643.28 27.5256 22 23.7721 1 6.97014e-113 1279.3 2303 201857 124851 265231
3491.94 0.608504 -0.747718 0.201752 0.216853 0.664058 0.652832 0.292938 0.0828303 0 0 0 0.645977 7656.21 45.0418 32 27.5256 9 1.25116 1279.3 2303 201857 124851 265231
3491.94 0.415046 -0.57138 0.44202 -0.311155 0.635158 0.275423 0.651075 0.0708543 0 0 0 0.45658 8687.59 45.0418 36 15.0139 5 7.26526e-103 1279.3 2303 201857 124851 265231
3491.94 1.25189 -0.805546 0.201752 -0.0537778 0.696495 0.71524 0.0208111 0.055554 0 0 0 1.19361 4926.53 33.7795 27 13.7604 16 3.44901e-52 1279.3 2303 201857 124851 265231
3491.94 0.990402 -0.817652 0.44202 0.530534 -0.467735 -0.503614 -0.496115 0.0470672 0 0 0 1.00566 4205.99 26.2744 21 15.0139 8 1.02301e-109 1279.3 2303 201857 124851 265231
3491.94 1.74772 -0.391496 0.201752 -0.316221 0.622898 0.66876 -0.254484 0.0610385 0 0 0 1.55953 7423.05 45.0418 36 5.00465 35 6.59877e-69 1279.3 2303 201857 124851 265231
3491.94 1.57138 -0.584954 0.44202 0.669144 -0.229104 -0.655133 -0.265626 0.0542057 0 0 0 1.43687 7080.46 37.5348 30 8.75813 23 2.03551e-119 1279.3 2303 201857 124851 265231
3491.94 1.80555 0.251887 0.201752 0.530523 -0.45447 -0.520467 0.491036 0.119153 0 0 0 1.68802 11244.9 86.3301 69 6.25581 65 7.66972e-46 1279.3 2303 201857 124851 265231
3491.94 1.81765 -0.00959786 0.44202 -0.705883 -0.0444056 0.706915 -0.00530219 0.0359054 0 0 0 1.65867 5192.7 30.0279 24 3.75348 18 1.14091e-121 1279.3 2303 201857 124851 265231
3491.94 1.3915 0.747718 0.201752 0.664058 -0.216853 -0.292938 0.652832 0.0688002 0 0 0 1.55953 7233.52 51.2976 41 5.00465 37 3.83633e-43 1279.3 2303 201857 124851 265231
3491.94 1.58495 0.57138 0.44202 -0.635158 -0.311155 0.651075 -0.275423 0.0226024 0 0 0 1.6337 4112.8 20.0186 16 3.75348 12 2.57782e-136 1279.3 2303 201857 124851 265231
3491.94 0.748113 0.805546 0.201752 0.696495 0.0537778 -0.0208111 0.71524 0.0627714 0 0 0 1.19361 6545.18 51.2976 32 12.5116 15 3.75348 1279.3 2303 201857 124851 265231
3491.94 1.0096 0.817652 0.44202 0.467735 0.530534 -0.496115 0.503614 0.00985717 0 0 0 1.36605 1626.23 8.75813 7 5.00465 3 1.8787e-104 1279.3 2303 201857 124851 265231
3491.94 0.252282 0.391496 0.201752 0.622898 0.316221 0.254484 0.66876 0.115563 0 0 0 0.645977 8059.71 55.0511 41 45.0418 0 2.66864e-78 1279.3 2303 201857 124851 265231
3491.94 0.42862 0.584954 0.44202 0.229104 0.669144 -0.265626 0.655133 0.013914 0 0 0 0.90159 2121.61 8.75813 7 6.25581 2 2.13837e-204 1279.3 2303 201857 124851 265231
