cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 36 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
8306.84 0.71483 0.484717 0.403763 0.636385 -0.289265 -0.514386 0.496736 969.25 0 0 0 2.87757 7454 0.328072 0.571142 7 36 144 324.351 47791.8 75471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.87757 0 4
8306.84 0.484717 -0.71483 0.403763 -0.245451 0.654533 0.714971 0.0124809 714.768 0 0 0 1.853 161 0.251081 0.576355 2 25 18 273.34 47791.8 75471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.853 0 4
8306.84 0.72919 -0.407766 0.44202 0.695031 -0.131055 -0.686387 -0.169205 1141.97 0 0 0 2.75775 143 0.272042 0.609222 5 88 23 349.085 47791.8 75471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.50594 1.00726 7
