
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43233e+09 0.303282 0.505816 0.201752 0.643418 0.27205 0.207267 0.684867 -0.0777256 0 0 0 1.853 30.8289 0.626909 1012 0.626909 182 0 59196.7 104428 3.7142e+06 2.02945e+06 4.73197e+06 1.853 0 4
1.43233e+09 0.174043 0.125641 0.44202 0.00488714 0.707262 -0.0439674 0.705566 -0.239059 0 0 0 2.56785 0 0 909 0 351 0 59168.2 104244 3.83162e+06 2.09349e+06 4.88217e+06 2.50594 0.247656 7
1.43233e+09 0.327119 -0.495198 0.44202 -0.266142 0.655295 0.229388 0.668684 -0.0731979 0 0 0 2.93949 67.0203 0.871026 771 0.871026 250 0 59168.2 104244 3.83162e+06 2.09349e+06 4.88217e+06 2.87757 0.247656 7
1.43233e+09 0.874359 -0.825957 0.44202 -0.496654 0.503565 0.467821 0.53 -0.239059 0 0 0 2.56785 0 0 740 0 591 0 59168.2 104244 3.83162e+06 2.09349e+06 4.88217e+06 2.50594 0.247656 7
1.43233e+09 1.4952 -0.672881 0.44202 0.651554 -0.275172 -0.635033 -0.310629 0.158469 0 0 0 1.91491 115.935 0.625503 740 0.625503 326 0 59168.2 104244 3.83162e+06 2.09349e+06 4.88217e+06 1.853 0.247656 7
1.43233e+09 1.85032 0.134988 0.201752 -0.497567 0.490331 0.553417 -0.453577 0.076521 0 0 0 0.98476 56.6559 0.625503 887 0.625503 779 0 59168.2 104244 3.83162e+06 2.09349e+06 4.88217e+06 0.98476 0 4
1.43233e+09 1.67288 0.495198 0.44202 -0.655295 -0.266142 0.668684 -0.229388 0.194052 0 0 0 0.061914 67.6375 0.660127 830 0.660127 218 0 59168.2 104244 3.83162e+06 2.09349e+06 4.88217e+06 0 0.247656 3
