cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 1 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2057.25 -0.258892 0.676449 0.441952 0.311841 0.641134 -0.339373 0.613619 163974 0 0 0 1.32928 37214 0.935985 0.744601 227 32388 392 133.7 6916.7 12329 1.09455 0.938926 8
2057.25 -0.263476 0.687584 0.442019 0.399987 0.583312 -0.431421 0.56003 168750 0 0 0 1.32778 39493 0.903835 0.748617 266 33272 526 158.3 6916.7 12329 1.09455 0.932926 7
2057.25 -0.782253 0.0719681 0.103551 0.526493 0.254722 0.445537 0.677805 6610.68 0 0 0 1.43746 4376 0.732331 0.820896 51 1132 245 39.5 6916.7 12329 1.27367 0.65514 8
2057.25 -0.792716 0.0778039 0.102341 0.6218 0.318567 0.402431 0.591549 6742.53 0 0 0 1.43596 3967 0.732426 0.84 57 1157 217 34.8 6916.7 12329 1.27367 0.64914 7
2057.25 -0.459991 0.667314 0.177665 -0.317746 0.739964 -0.41749 0.420943 8188.87 0 0 0 1.37776 9561 0.865433 0.92 15 1489 154 54 6916.7 12329 1.27367 0.41634 8
2057.25 -0.470734 0.672633 0.178803 -0.251328 0.669264 -0.523461 0.463583 22327.9 0 0 0 1.37626 10222 0.859943 0.853968 41 4296 179 36.1 6916.7 12329 1.27367 0.41034 7
2057.25 -0.661386 0.295257 0.441952 0.042752 0.711667 -0.0787178 0.696783 17439.2 0 0 0 1.5084 8953 0.724062 0.877863 79 3219 436 73.5 6916.7 12329 1.27367 0.938926 8
2057.25 -0.672501 0.29989 0.442019 0.146316 0.691979 -0.184267 0.682497 17957 0 0 0 1.5069 6731 0.693079 0.84 102 3291 493 78.3 6916.7 12329 1.27367 0.932926 7
2057.25 -0.604025 -0.502247 0.103551 0.388938 0.436812 0.671007 0.455711 2123.43 0 0 0 0.602341 22841 0.881084 0.960902 12 250 263 69.1 6916.7 12329 0.438556 0.65514 8
2057.25 -0.61555 -0.505519 0.102341 0.452558 0.53227 0.598173 0.392516 7743.2 0 0 0 0.600841 23005 0.909085 0.957377 15 1383 210 63.6 6916.7 12329 0.438556 0.64914 7
