cost_weight: 15000
information_weight: 1
IgnorantTotalIG weight: 0.25
OccupancyAwareTotalIG weight: 0.5
ClassicFrontier weight: 0
TotalUnknownIG weight: 0.5
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeIG weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfFree weight: 0
TotalEntropy weight: 0
TotalNrOfNodes weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43231e+09 0.239592 0.403788 0.201752 0.622844 0.316328 0.254598 0.668717 -448.539 24.4019 -937.437 238.138 1.18532 0 0 286 0 23 14804.4 25730 591556 378397 790114 0 0.980134 0.820743 7
1.43232e+09 0.415863 0.597307 0.44202 0.22899 0.669183 -0.265514 0.655179 -28.1695 420.87 -999.933 384.978 0.061914 108.59 0.625503 738 0 44 20053 34620 953544 590632 1.25828e+06 0 0 0.247656 3
1.43232e+09 1.00931 0.835407 0.44202 0.467645 0.530614 -0.496029 0.503698 -449.707 29.1075 -1071.36 294.612 0.98476 0 0 511 0 169 25065 43802 1.25085e+06 742504 1.61478e+06 0 0.98476 0 4
1.43232e+09 0.747831 0.823211 0.201752 0.696486 0.0538967 -0.0206889 0.715244 -33.7744 489.229 -1153.77 480.523 0.0637289 0 0 679 0 91 28192.1 49603 1.47269e+06 850571 1.87889e+06 0 0 0.254916 3
