average_cost_retrieval_time_per_view average_information_retrieval_time_per_view
0.00301986 2.07093
0.00292415 4.62044
0.00317023 6.31831
0.00307742 6.84993
0.00271826 7.26654
0.00244185 7.83936
0.00291432 8.04698
0.00321228 8.2398
0.00281202 8.47109
0.00287009 9.136
