average_cost_retrieval_time_per_view average_information_retrieval_time_per_view
0.00244884 0.988724
0.00306699 1.28702
0.0024817 1.41867
0.00261548 1.50202
0.00248035 1.75944
0.00307113 1.8083
0.00329024 2.14874
0.00406263 2.26407
0.00306181 2.24229
0.00267507 2.25853
0.00258791 2.14231
0.00409157 2.53234
0.00286187 2.63432
0.00374294 2.80495
