average_cost_retrieval_time_per_view average_information_retrieval_time_per_view
0.00372335 1.09064
0.00331386 1.35581
0.00322125 1.45788
0.00590819 2.09972
0.00555532 2.3697
0.00420244 2.72483
0.00384016 2.53228
0.00453708 3.00358
0.00304437 3.35145
0.619718 2.9415
